sample_type,species,model,treatment,perf_met,mean,std,min,25%,50%,75%,max
Streams,Ammonium-N,DL,comb,test_rmse,0.10406592433973308,0.023461912967280483,0.0734045165024137,0.0831979047668592,0.10116140890881589,0.11906979209643268,0.1488943728029497
Streams,Ammonium-N,DL,fil,test_rmse,0.10409234965089942,0.02521221980390624,0.065126268769161,0.08537654653931287,0.10146475810372316,0.1271706498311879,0.1452638344936943
Streams,Ammonium-N,DL,unf,test_rmse,0.10648541215407134,0.021754311850378204,0.0677372899624769,0.09180454602839197,0.10458615540748725,0.12849252881728407,0.1452531236843431
Streams,Ammonium-N,PLS,comb,test_rmse,0.10647257122770996,0.02262074104216792,0.074305499972196,0.09015126856862446,0.10444485988796476,0.12312919793662859,0.1490198787434778
Streams,Ammonium-N,PLS,fil,test_rmse,0.10528261582799239,0.023954781276872585,0.0689764798122924,0.09044124265871008,0.1042007533965984,0.12909845769808764,0.1455145293358531
Streams,Ammonium-N,PLS,unf,test_rmse,0.10238738144952182,0.02515927161546798,0.0697626952325484,0.08366671169170628,0.09188161481298249,0.13269881463219915,0.1479712739948734
Streams,Ammonium-N,RF-PCA,comb,test_rmse,0.10112426417124934,0.025067312663350348,0.0672976210059582,0.08163392862195255,0.09926658338031474,0.12736646747907004,0.1414270640078275
Streams,Ammonium-N,RF-PCA,fil,test_rmse,0.10176745370471088,0.023674486158019696,0.067863453634358,0.0818168282413986,0.0992129919754024,0.12417258579675917,0.1397508508213205
Streams,Ammonium-N,RF-PCA,unf,test_rmse,0.0984876221116476,0.02336671817182378,0.0723591624913847,0.08182616508414087,0.08880546291955015,0.11974015887187481,0.1431108527857885
Streams,Ammonium-N,XGB-PCA,comb,test_rmse,0.10485141648259522,0.023925252576496952,0.0775139433233563,0.08336526531797517,0.10093654378830505,0.12515498069042572,0.143501597827583
Streams,Ammonium-N,XGB-PCA,fil,test_rmse,0.10743775576621639,0.02261994804660471,0.0585105931313377,0.09440463757612465,0.11006337927537005,0.1249718791933363,0.1475682991609011
Streams,Ammonium-N,XGB-PCA,unf,test_rmse,0.10459549838477966,0.02153881461704894,0.0735533064872933,0.08854248864836514,0.09744636137029936,0.12494271111570363,0.143060049783904
Streams,Nitrate-N,DL,comb,test_rmse,0.22665345267107742,0.07252957859208976,0.1216082695289765,0.1637056486104603,0.21614541427815903,0.257535405208812,0.3830745172870239
Streams,Nitrate-N,DL,fil,test_rmse,0.24177197894605085,0.054686095581164176,0.1692565069435405,0.19997642746048505,0.22632426605958172,0.2799446716217042,0.3520646587896497
Streams,Nitrate-N,DL,unf,test_rmse,0.2517707013023646,0.04745805193650232,0.1579733253162027,0.22642116373973353,0.2510941136979058,0.28552527922547966,0.3245014695931839
Streams,Nitrate-N,PLS,comb,test_rmse,0.2754328296487422,0.056466844966459775,0.1725328802685559,0.23831693348273586,0.2694902311114582,0.32125371296011174,0.3916916338596503
Streams,Nitrate-N,PLS,fil,test_rmse,0.2624905493162946,0.03443683354712343,0.214209481149707,0.23493802825681856,0.2554391985029587,0.28994136001594206,0.3287336185169124
Streams,Nitrate-N,PLS,unf,test_rmse,0.29609474466226254,0.04035792986828224,0.207131242672317,0.26315874294309516,0.29874576674541153,0.3211005730645751,0.3957168967878146
Streams,Nitrate-N,RF-PCA,comb,test_rmse,0.4029934686620497,0.11861262854354022,0.1595104781200886,0.3250089342323994,0.41785456143804633,0.48717961986253255,0.6106148911297413
Streams,Nitrate-N,RF-PCA,fil,test_rmse,0.37426522570420695,0.06845218616556355,0.2544687223315803,0.3208976082822039,0.3691431998878054,0.41612008760256425,0.4990043407798169
Streams,Nitrate-N,RF-PCA,unf,test_rmse,0.41309437299118157,0.11663491799952383,0.1882690154478744,0.31322309332201026,0.42640373729596975,0.5034593153421418,0.5798983667035786
Streams,Nitrate-N,XGB-PCA,comb,test_rmse,0.39038875216603647,0.12126231857771055,0.1592869910013218,0.3446228385919431,0.39104613820484374,0.4765172161038972,0.6193301043517287
Streams,Nitrate-N,XGB-PCA,fil,test_rmse,0.3655795336751906,0.0833740224289854,0.2113505782375024,0.3148793982205472,0.3459843799396878,0.4260505911516996,0.5092609529736225
Streams,Nitrate-N,XGB-PCA,unf,test_rmse,0.41379218277862273,0.1269361008172761,0.2352573567646043,0.295909083459075,0.4189328632439011,0.5312842804002629,0.5667140148562054
Streams,TKN,DL,comb,test_rmse,0.23103248381823507,0.052390753867003044,0.1390537341251629,0.19915519828401784,0.2221890331204929,0.27134152721554416,0.3522889454351119
Streams,TKN,DL,fil,test_rmse,0.21812188460463094,0.028855146261215485,0.175301230842765,0.19471065554782646,0.2175291835918592,0.23397571132351744,0.2726356221467663
Streams,TKN,DL,unf,test_rmse,0.23648045036432155,0.08136545181836996,0.1155010550376006,0.17342623156860917,0.23206617561944598,0.2703270547365113,0.4788596219763197
Streams,TKN,PLS,comb,test_rmse,0.1991281830272148,0.044966842109608836,0.1275989902769455,0.18335187414274348,0.1901534311486264,0.20691401921895794,0.3523614239028556
Streams,TKN,PLS,fil,test_rmse,0.2006149990799866,0.065284970802613,0.1367856679172043,0.16224031363124872,0.1900593680117716,0.21224449905020773,0.4395891347067557
Streams,TKN,PLS,unf,test_rmse,0.21003588853040264,0.053536959544487984,0.1067336536795667,0.16209506845843372,0.21097066624951683,0.24391420148337284,0.3091186409375286
Streams,TKN,RF-PCA,comb,test_rmse,0.18304911429269735,0.036416251002588496,0.1277762594287104,0.15907771714165697,0.1785673421070797,0.2003419896170891,0.2597168337011413
Streams,TKN,RF-PCA,fil,test_rmse,0.19176739971155404,0.020125687741166118,0.14241905134028,0.1846940277873261,0.19651719362846293,0.20779931483129616,0.2141156514972947
Streams,TKN,RF-PCA,unf,test_rmse,0.20005408846536757,0.05107811484074528,0.1263355346691494,0.16183398828298243,0.1874110134271875,0.24959338299274153,0.2973414241258088
Streams,TKN,XGB-PCA,comb,test_rmse,0.19145691126401143,0.04279789436224795,0.1349847461971828,0.16304716463036817,0.1817050155481079,0.215732600480891,0.2743639924348359
Streams,TKN,XGB-PCA,fil,test_rmse,0.20486842178222447,0.028379705970186617,0.1387197409576547,0.1932267075325698,0.2113565371806284,0.2240053680817522,0.2543281883338966
Streams,TKN,XGB-PCA,unf,test_rmse,0.20106298883142446,0.048701146589578595,0.1156049705907828,0.177898130722205,0.1923714428568228,0.24251374820562305,0.2926919957867573
Streams,ON,DL,comb,test_rmse,0.21735919822491329,0.0460693396960762,0.1270256845366789,0.18298423064292868,0.2096169952447763,0.26035786513265224,0.2875252183838511
Streams,ON,DL,fil,test_rmse,0.2770758950417595,0.042074176515384254,0.2001197994793394,0.25313496944182734,0.2627112671917836,0.31492571783486023,0.3702174572830238
Streams,ON,DL,unf,test_rmse,0.2606752728441499,0.03202052551880074,0.2119983387508706,0.23584550835779766,0.2574926435068307,0.2800145985711045,0.3315294952721301
Streams,ON,PLS,comb,test_rmse,0.20640332285063825,0.048374474047730154,0.1466452856954186,0.17548437676752127,0.20147595647579009,0.2152858276028344,0.3389544153750475
Streams,ON,PLS,fil,test_rmse,0.21976996554985426,0.04467079397581061,0.121994756738942,0.20364544901216042,0.2204856640612217,0.24936650209880065,0.2924629438687475
Streams,ON,PLS,unf,test_rmse,0.22879735608417479,0.041525808441831076,0.1261056183077654,0.20324346328247297,0.22984897585886194,0.25815751726566083,0.3140860506728656
Streams,ON,RF-PCA,comb,test_rmse,0.19376739434043536,0.037043896140116515,0.134428019489997,0.16868370322761292,0.19254917448446784,0.21185099602989105,0.2680997064568707
Streams,ON,RF-PCA,fil,test_rmse,0.22663510436488882,0.04798321725619421,0.1439927647682311,0.19524818669723693,0.2223577037765517,0.259607544310014,0.3092913762657605
Streams,ON,RF-PCA,unf,test_rmse,0.21911582006935273,0.04743695436432949,0.1354970629594222,0.18481215973629697,0.22090297100096795,0.2466703591569161,0.3211142177599876
Streams,ON,XGB-PCA,comb,test_rmse,0.1947042849634544,0.04031086564320426,0.1033391781128557,0.16683180746706455,0.1962348156279603,0.2195039153209988,0.2726219141639056
Streams,ON,XGB-PCA,fil,test_rmse,0.22837068951846992,0.04189072515444063,0.1535796560350252,0.1929324562067457,0.2400856411427822,0.2579519400578501,0.306247255367867
Streams,ON,XGB-PCA,unf,test_rmse,0.23542055807607126,0.044870038858552126,0.1419815982592677,0.2066675358951252,0.23687907172088601,0.2569468827089508,0.338058010121867
Streams,TN,DL,comb,test_rmse,0.3853859890800918,0.10999538611019316,0.2613541802736683,0.30801457503331553,0.343441724201903,0.4513259042569087,0.6573253021954775
Streams,TN,DL,fil,test_rmse,0.4630437771475398,0.18848738098117082,0.280076991992917,0.33460321958553785,0.41157840641037613,0.47963484307631404,0.9332096630859644
Streams,TN,DL,unf,test_rmse,0.5643251401411549,0.21398793893542084,0.2900504737577397,0.3884397555332024,0.5446811856383771,0.7416435165327223,0.9472976265166804
Streams,TN,PLS,comb,test_rmse,0.4633053564868138,0.1189111160932495,0.3468526967385089,0.3934120012153042,0.42945098913064356,0.4763126396315362,0.7832806435877144
Streams,TN,PLS,fil,test_rmse,0.4354811415217058,0.09848547902356072,0.300029639757927,0.3623387242843445,0.4177978596710392,0.4829132044031227,0.6036477454912349
Streams,TN,PLS,unf,test_rmse,0.42732322043385196,0.15747274958846585,0.226347809971836,0.3348383673716541,0.39044954245871794,0.49638099845823547,0.9006480730902517
Streams,TN,RF-PCA,comb,test_rmse,0.5698051532499514,0.1621923658042812,0.2953943370799211,0.4649113281617062,0.5465185103628734,0.6945605631481618,0.8845546503204977
Streams,TN,RF-PCA,fil,test_rmse,0.655456096538866,0.20837879135503024,0.3015677950369679,0.515152424107328,0.6416750970728695,0.7922145973253311,1.1489528564389837
Streams,TN,RF-PCA,unf,test_rmse,0.533339397493531,0.25057987781224766,0.2169524995147369,0.43316422825317397,0.4688567687918565,0.590871372896995,1.3978228813432847
Streams,TN,XGB-PCA,comb,test_rmse,0.5594478710394665,0.17644110645723718,0.3062554929233927,0.45587004522658797,0.5481365758353622,0.6530300900117824,1.0279358595528367
Streams,TN,XGB-PCA,fil,test_rmse,0.6673376215335209,0.262136973677922,0.2929237683219026,0.4774080182436119,0.7194525888413188,0.7988779479509953,1.309254538567498
Streams,TN,XGB-PCA,unf,test_rmse,0.5080502804716968,0.23279847108983703,0.2022411218957512,0.36197419397612207,0.46010259846540574,0.546082795257949,1.279430355112419
Streams,Phosphate-P,DL,comb,test_rmse,0.19786029335637023,0.02685662911224737,0.1502697038695285,0.1762425251590981,0.19779078551743515,0.2188960158315034,0.2538504816460535
Streams,Phosphate-P,DL,fil,test_rmse,0.21336311913988343,0.025165566808918717,0.1765853744975798,0.19273083254104947,0.2131721184771647,0.2263026157068449,0.2736248495018304
Streams,Phosphate-P,DL,unf,test_rmse,0.2058636055026155,0.030627272319342074,0.1666083136679312,0.18464115842498577,0.2022802110768837,0.2098672718757405,0.2805235353017933
Streams,Phosphate-P,PLS,comb,test_rmse,0.2307713819714897,0.01946180301713634,0.1880073554473905,0.21853862360059761,0.22909863825100757,0.24215868064958224,0.2718748646376947
Streams,Phosphate-P,PLS,fil,test_rmse,0.23291618403896241,0.021767389685138857,0.2063627712261174,0.21868641994422733,0.22710371896593,0.24066696618314684,0.2844358073533812
Streams,Phosphate-P,PLS,unf,test_rmse,0.24915233597225614,0.025573328783860337,0.1909454806086178,0.23303298578691337,0.25024117435097826,0.27017661534319204,0.2875613014313967
Streams,Phosphate-P,RF-PCA,comb,test_rmse,0.19638651863882003,0.020009361153113397,0.1651322988843267,0.18294256808914539,0.19424279641948167,0.20687919860646944,0.2296975644556701
Streams,Phosphate-P,RF-PCA,fil,test_rmse,0.2078120717316822,0.020213301156889713,0.1840645635917537,0.19123238197452902,0.20217296808068635,0.22441462163569204,0.2475348440452922
Streams,Phosphate-P,RF-PCA,unf,test_rmse,0.2141925881043881,0.025039473456512796,0.1668442658476656,0.1995576363750168,0.21252194908353794,0.22552816980913098,0.2680959056024545
Streams,Phosphate-P,XGB-PCA,comb,test_rmse,0.2000624428866237,0.01697225202188298,0.1718504733928104,0.18564306832721758,0.19617526062887353,0.21143516864380874,0.238845421805673
Streams,Phosphate-P,XGB-PCA,fil,test_rmse,0.20737916317145483,0.018522445147245742,0.1859694452873239,0.19394527421176302,0.2007972696997033,0.21792474513319093,0.2462566423141979
Streams,Phosphate-P,XGB-PCA,unf,test_rmse,0.21477532508051794,0.022777060229565226,0.1717665131366222,0.1975360064453587,0.21144422144008415,0.22956045570835165,0.2641921908311804
Streams,TP,DL,comb,test_rmse,0.22094181853864786,0.05354792464476462,0.1134588274043462,0.18884582216428344,0.2194890717983212,0.25656512856861374,0.3161444339622942
Streams,TP,DL,fil,test_rmse,0.21341230063166522,0.043992479460390754,0.1473783643578375,0.18022281866133041,0.2048161709650626,0.2376534798605019,0.3106310036121559
Streams,TP,DL,unf,test_rmse,0.23023667715095777,0.05397205961105297,0.1471922609812898,0.1995264437900824,0.2176593361356568,0.26020347852597836,0.3519478966391107
Streams,TP,PLS,comb,test_rmse,0.23490063457011573,0.03944043342819474,0.1767810394765924,0.20672856166113188,0.2321402174629711,0.25567945869867764,0.3310211754863119
Streams,TP,PLS,fil,test_rmse,0.23439426826537563,0.038379151342672134,0.1708238799270025,0.2085458828932782,0.23220743240163083,0.2579197404909105,0.3094900533102394
Streams,TP,PLS,unf,test_rmse,0.25507646881338897,0.05295996060873292,0.1633757474166317,0.23181410733857902,0.24411615476242587,0.2604040211337582,0.4035754213280187
Streams,TP,RF-PCA,comb,test_rmse,0.20367334433145903,0.03619270207221786,0.1358374836280911,0.17897938475330047,0.2047993999218782,0.22361692328991145,0.2994294574735064
Streams,TP,RF-PCA,fil,test_rmse,0.20826914636178118,0.03298732087739,0.1560661477920962,0.1864868519616429,0.20366241500526822,0.2259046042767045,0.2904254313213965
Streams,TP,RF-PCA,unf,test_rmse,0.21094775767567087,0.023315685520748433,0.1662643501518169,0.19830031811909704,0.2068248766769333,0.2235156104586667,0.2656987433754376
Streams,TP,XGB-PCA,comb,test_rmse,0.21096114700355545,0.04166779383948983,0.1422387426563751,0.1807449122179128,0.20747419662071204,0.24278662334372714,0.2759252430254212
Streams,TP,XGB-PCA,fil,test_rmse,0.21563505221445745,0.03393245638149018,0.1684029525910107,0.19379938995738882,0.20569166472731498,0.23235102151579456,0.297104164239184
Streams,TP,XGB-PCA,unf,test_rmse,0.21704978134692215,0.03294543667943927,0.1670940336177983,0.19080009844751641,0.21728105932065916,0.2410762704175231,0.2801880286593932
Streams,OP,DL,comb,test_rmse,0.04180483212928622,0.015219028482095644,0.0221842665481557,0.03252599050398715,0.03871157939204295,0.04337576383170285,0.0828083091752121
Streams,OP,DL,fil,test_rmse,0.025148191665219376,0.0031307397984967657,0.0194660905195231,0.02322987136366795,0.0246844655971892,0.0265076273135114,0.0321075099376411
Streams,OP,DL,unf,test_rmse,0.052260281146475754,0.022503899127527857,0.030642116441929,0.037166561569510245,0.042827514390606045,0.061285830194525374,0.1077994908684733
Streams,OP,PLS,comb,test_rmse,0.04104411265623256,0.008523099779675332,0.0248507022638422,0.03533174299095597,0.04093090571120765,0.04588934565369835,0.0570351189518389
Streams,OP,PLS,fil,test_rmse,0.026626244937343106,0.003997371253204989,0.019399847205701,0.023055549124249078,0.02663691828254905,0.030479656649225702,0.032907431458618
Streams,OP,PLS,unf,test_rmse,0.050350574922311084,0.021606252903481223,0.0249148927263395,0.0387854906366076,0.04102288573596155,0.05339428824067623,0.1083763034007198
Streams,OP,RF-PCA,comb,test_rmse,0.038241280413185655,0.007205108959104344,0.0235135040201071,0.032785670037219626,0.03805760519826025,0.041846855973299624,0.0507669137489445
Streams,OP,RF-PCA,fil,test_rmse,0.025212330896429415,0.0036338027815559153,0.0203483368968877,0.02272831785653915,0.024237579669793202,0.0267353983981233,0.0342363892035287
Streams,OP,RF-PCA,unf,test_rmse,0.05354580958596379,0.023888081255869123,0.0302030842223911,0.036926237360105876,0.0425371368832362,0.061938390628911044,0.1073317781391947
Streams,OP,XGB-PCA,comb,test_rmse,0.048509804003844956,0.016010272390673198,0.022045950074857,0.03709905714058107,0.0474605810763858,0.0529083960965206,0.0858659215818257
Streams,OP,XGB-PCA,fil,test_rmse,0.02709588694769439,0.004102960488274652,0.0201510338390288,0.024620204663874327,0.026323728070343548,0.029739815514787774,0.0344177494249673
Streams,OP,XGB-PCA,unf,test_rmse,0.06751882643093449,0.03138439628537828,0.0296588650854321,0.04521095475852342,0.05415867242102705,0.08901525478745287,0.1342283398391673
Hydroponics,Nitrate-N,DL,diluted,test_rmse,44.89304034691499,33.41516287868332,20.057939380578222,29.524007790448618,35.96017147099709,43.262043453403514,141.9548187477658
Hydroponics,Nitrate-N,DL,undiluted,test_rmse,41.31065119396047,33.54607121734538,18.30273059062392,25.846507148410844,28.941910372489232,34.50680242458114,153.112211981024
Hydroponics,Nitrate-N,PLS,diluted,test_rmse,34.48308286649075,13.66357064251474,18.67062796845895,28.282365396433594,31.587402851787914,35.044315799831416,76.42215259889281
Hydroponics,Nitrate-N,PLS,undiluted,test_rmse,33.22115621624641,20.15553216412779,18.56790265191895,23.268594884734174,27.728105780546237,32.4313503200032,96.12371302399188
Hydroponics,Nitrate-N,RF-PCA,diluted,test_rmse,27.42620783493383,6.412618162737393,16.879038188189696,22.04045839030058,27.61663861087444,31.548792690092963,39.08628812577376
Hydroponics,Nitrate-N,RF-PCA,undiluted,test_rmse,24.395518596526607,4.717477891090536,16.075976497561527,21.932138900736188,23.632877400059392,27.442834565903006,36.62263934323209
Hydroponics,Nitrate-N,XGB-PCA,diluted,test_rmse,28.69492430386446,6.379135085514847,20.0714759128962,23.736711340005073,28.501466402006407,31.354823353500233,41.40242795070985
