sample_type,species,model,perf_met,mean,std,min,25%,50%,75%,max
Streams,Ammonium-N,DL,test_rmse,0.10456881772246543,0.01696612642618124,0.0817868393586596,0.08979005537618898,0.10463729740263655,0.119834739090803,0.1305046784931396
Streams,Ammonium-N,PLS,test_rmse,0.09509184067868871,0.014803446714866504,0.0720738631397838,0.08368136090515557,0.098094713,0.10502177911822158,0.1210227824710472
Streams,Ammonium-N,RF-PCA,test_rmse,0.09311914432809079,0.0162126529769424,0.0691922429938161,0.07717171070370298,0.09602294019297006,0.10672008007598587,0.1240797342343835
Streams,Ammonium-N,XGB-PCA,test_rmse,0.09788678880961785,0.013656510405887376,0.0684856686208798,0.08799966400800285,0.09806231703639601,0.10848179722165524,0.1231670048256401
Streams,Nitrate-N,DL,test_rmse,0.2095624089589932,0.0409711724158655,0.1646868166323979,0.18077700325176246,0.19609246219945464,0.22545114720790177,0.2979302008663171
Streams,Nitrate-N,PLS,test_rmse,0.25501999974432754,0.02446150724393425,0.203416073,0.2418622471520657,0.25700620883390035,0.26583701061414833,0.30659764
Streams,Nitrate-N,RF-PCA,test_rmse,0.33140349245120115,0.08221177575097992,0.2109719802718607,0.25253615317083533,0.3201708979040374,0.39931398903512677,0.4689007009566157
Streams,Nitrate-N,XGB-PCA,test_rmse,0.35443586752405154,0.11270165433582041,0.1815240833088724,0.29688648411865204,0.35388778246521946,0.4290427554876094,0.6461236417701037
Streams,TKN,DL,test_rmse,0.18762734715124454,0.020976440882093682,0.1490623139509096,0.17127902937511227,0.1904983822533124,0.20082185857413304,0.2265908305202529
Streams,TKN,PLS,test_rmse,0.23906976064795615,0.030884336422983587,0.181704627,0.22340442175000003,0.24309736509202579,0.25634250945470965,0.296249041
Streams,TKN,RF-PCA,test_rmse,0.2355568867433234,0.02918607569142348,0.1597426917986617,0.22142227892345082,0.2395700743015302,0.25834284395858875,0.28951982200848
Streams,TKN,XGB-PCA,test_rmse,0.23590118499522922,0.02977243031142799,0.1579324377643615,0.22203855078666868,0.24220308198460827,0.25834345300905287,0.2787689798921312
Streams,ON,DL,test_rmse,0.19960613589406603,0.02605336470084975,0.1590431189880223,0.18410290742748117,0.197165683901814,0.21265833436859552,0.2566902755138426
Streams,ON,PLS,test_rmse,0.2702030337089106,0.02302679696488819,0.234557186967149,0.2524795650153132,0.27487549165670677,0.28305498625000003,0.320091453
Streams,ON,RF-PCA,test_rmse,0.2618126741050594,0.025244709200615036,0.2165582729323261,0.24144580051536862,0.2684742809364421,0.27606607450477716,0.3053681155761732
Streams,ON,XGB-PCA,test_rmse,0.2678610715109325,0.028811238039796346,0.2211494140417991,0.24551359700007092,0.2707317322614563,0.27991479065677,0.3241316263078048
Streams,TN,DL,test_rmse,0.31907447555331764,0.05651655885178618,0.1810195713841637,0.28646218034417575,0.33354825365090024,0.3559621541201776,0.4005521901196523
Streams,TN,PLS,test_rmse,0.37017254504627295,0.055236233589933834,0.31160625,0.3344173510834977,0.35371272249999997,0.3936284648084344,0.508292846
Streams,TN,RF-PCA,test_rmse,0.4686046100408653,0.09273788294842653,0.2654048570219419,0.4264860084004978,0.46315995299618473,0.5414068899756439,0.6287517722361514
Streams,TN,XGB-PCA,test_rmse,0.456934121504306,0.107189770563238,0.2883888422132193,0.3679435529473664,0.4683969205342997,0.5484186659838585,0.637412859456119
Streams,Phosphate-P,DL,test_rmse,0.17853816460376798,0.017165283236682045,0.1545588202576672,0.1679417566357112,0.1763188644644571,0.18744525453682587,0.230455091175945
Streams,Phosphate-P,PLS,test_rmse,0.197688776527246,0.011355949344072778,0.1709161675379988,0.19165493667516564,0.1977130845,0.2048709606882228,0.215370819
Streams,Phosphate-P,RF-PCA,test_rmse,0.17191809294242494,0.013252041551602759,0.1446572488964522,0.16166489755127594,0.17602295965983433,0.1811586636459583,0.1897125177724799
Streams,Phosphate-P,XGB-PCA,test_rmse,0.17426860809800715,0.010051076167905642,0.152022398441643,0.16863624694051885,0.1720171838008924,0.18091826075692322,0.1927625060217515
Streams,TP,DL,test_rmse,0.18292919097271432,0.021975365363225034,0.1462937790298029,0.16580488176903935,0.1825632257289017,0.19581087537099656,0.2265523843255472
Streams,TP,PLS,test_rmse,0.204843021678845,0.018636648616458754,0.162897372,0.19502670532172006,0.206019035,0.215967909,0.2385124518994262
Streams,TP,RF-PCA,test_rmse,0.1877384503913002,0.02317786847124928,0.1570322613666693,0.172710698449862,0.1905235350501207,0.198758047659834,0.2586558052022823
Streams,TP,XGB-PCA,test_rmse,0.17359434317450334,0.026509601394474242,0.1226840967484573,0.16437344068480628,0.17560562665305468,0.18221472075613332,0.2540830062355794
Streams,OP,DL,test_rmse,0.05104706448102299,0.01636638195746505,0.0323671596150834,0.03707136821330077,0.04282218172143125,0.06721509912239895,0.0741183031820825
Streams,OP,PLS,test_rmse,0.04904174573157753,0.013208823449440887,0.032107496,0.04036769433620642,0.04545111550450075,0.05496165816189725,0.071898339
Streams,OP,RF-PCA,test_rmse,0.04698863721764866,0.013821893544346727,0.0324821834349956,0.03724166444967017,0.04178795410855925,0.053046954530471445,0.0712903926516865
Streams,OP,XGB-PCA,test_rmse,0.05087440518682055,0.013286582028351935,0.0315835911146819,0.03992191853920375,0.046627765559982645,0.0654583637096549,0.0707817151664471
Hydroponics,Nitrate-N,PLS,test_rmse,33.221156216246406,20.15553216412779,18.56790265191895,23.268594884734174,27.728105780546237,32.4313503200032,96.12371302399188
