,natural stream,"natural, diluted HNS","natural, undiluted HNS",synthetic stream,"synthetic, diluted HNS","synthetic, undiluted HNS"
peak wavelength,229.3976185,228.0362323,229.3976185,271.7868881,228.4899864,229.3976185
peak absorbance,0.24559365233789957,0.19078897914035087,0.4584775295396825,0.4414727174747475,0.19123768652173911,0.4551028791304348
