,count,mean,std,min,25%,50%,75%,max
Ammonium-N,356.0,0.05483264483988764,0.09858818736717466,-0.040933333,0.010481499750000001,0.0221333335,0.050458332999999994,0.7161
Nitrate-N,356.0,0.5486768634859551,0.9560045929397674,-0.013,0.090666667,0.172333333,0.3540499025,5.165333333
TKN,159.0,0.5424528301886793,0.28151200478287974,-0.19,0.39,0.53,0.6799999999999999,1.31
ON,115.0,0.4762082724869565,0.2931468309054525,-0.205166667,0.352811266,0.485133333,0.638448189,1.3036
TN,115.0,1.015856200347826,0.9239296822187165,0.007333333,0.5471666665,0.724333333,0.9294601419999999,4.027604111
Phosphate-P,400.0,0.27664089740500003,0.23549629595499122,0.02678,0.09,0.15989332,0.44946521,0.996333333
TP,159.0,0.3037959119496855,0.2366954136133338,0.05394,0.11865999999999999,0.18048,0.49133,0.85157
OP,159.0,0.0604054716981132,0.05003884268079203,-0.00183,0.029575,0.05369,0.080685,0.46541
