sample_type,species,model,syn_aug,perf_met,mean,std,min,25%,50%,75%,max
stream,Ammonium-N,DL,False,test_rmse,0.1174907648896191,0.05047471027653658,0.0262163412541092,0.08930456965114518,0.1084352867410873,0.1510182152132388,0.2309565060795266
stream,Ammonium-N,DL,True,test_rmse,0.10381910142130668,0.04934086567405689,0.0313775356989634,0.07173112188192363,0.09280047442855795,0.12807629095415535,0.2242615160704285
stream,Ammonium-N,PLS,False,test_rmse,0.10424431207536214,0.05054530564211786,0.0342213636141834,0.07674250892672806,0.09194798822060404,0.12020770721459863,0.241420005048908
stream,Ammonium-N,PLS,True,test_rmse,0.1035724665278186,0.044818718630628834,0.0429533809518822,0.07384355306670401,0.09605140258845905,0.11344148255393931,0.2149678379290913
stream,Ammonium-N,RF-PCA,False,test_rmse,0.1026702881967186,0.04655238540261031,0.0291289800112861,0.07332314483748906,0.0947089378177865,0.1213456206271357,0.2137449700134054
stream,Ammonium-N,RF-PCA,True,test_rmse,0.10421959253121174,0.04236853908336986,0.0446903212235591,0.07858705877918759,0.09254185025908265,0.1207413182577409,0.2114185939074484
stream,Ammonium-N,XGB-PCA,False,test_rmse,0.11959634788902071,0.04581401275747785,0.0425900730792767,0.09735250503618256,0.12142359016521365,0.14020287235051163,0.22924257588956
stream,Ammonium-N,XGB-PCA,True,test_rmse,0.10747051131037422,0.0445466505931475,0.0448167483874862,0.07802010077660118,0.0945714740236292,0.13300295415239702,0.2198554544128186
stream,Nitrate-N,DL,False,test_rmse,0.33618566424549434,0.12708555175672165,0.1863206093420877,0.24457624998615343,0.3215750159430021,0.3915805054487533,0.6707357243737089
stream,Nitrate-N,DL,True,test_rmse,0.8318279620746489,0.511040275385142,0.3604406217219638,0.5023538483485145,0.7651158274121528,0.9648887060973637,2.553866527074031
stream,Nitrate-N,PLS,False,test_rmse,0.45629499579017213,0.22861915426875898,0.2488099647743513,0.27582628880617965,0.39929516121857267,0.5605834425068346,1.052787690067721
stream,Nitrate-N,PLS,True,test_rmse,1.3487223305993967,0.3737939999279718,0.8457810070085567,1.0840445403675698,1.3108859329499443,1.6155576942393268,2.3104228591513616
stream,Nitrate-N,RF-PCA,False,test_rmse,0.5374533231329998,0.19175447311296268,0.1650082512733104,0.39855590972917604,0.5185191022316029,0.7127579572717211,0.8628782290456393
stream,Nitrate-N,RF-PCA,True,test_rmse,0.9505699166698898,0.4590082726695391,0.3366099160626939,0.5951059516431126,0.9110975327969897,1.193330533355562,1.8491077052268503
stream,Nitrate-N,XGB-PCA,False,test_rmse,0.6005106795540882,0.2087394597901242,0.248110647389141,0.47555587724079235,0.5692136599601356,0.7349090178903457,1.0780673129204632
stream,Nitrate-N,XGB-PCA,True,test_rmse,1.138846034603752,0.5530195893436629,0.3885369844652088,0.683899656187034,1.094284806976912,1.4623799449100081,2.307735807831467
stream,TKN,DL,False,test_rmse,0.20970502938294683,0.04248872965047727,0.1297849363420328,0.19534837436859248,0.2073279629241323,0.2279846299700895,0.3317674667818834
stream,TKN,DL,True,test_rmse,0.2788468962461426,0.057681766664415504,0.1709272020983489,0.2444398865830817,0.2767605512536989,0.30758704061330483,0.4028442984349191
stream,TKN,PLS,False,test_rmse,0.1982135865962092,0.035495131344095265,0.1374570799946176,0.1703371370127607,0.1959357121977449,0.21493237389829584,0.261760930344229
stream,TKN,PLS,True,test_rmse,0.5579953240808431,0.16282879341046114,0.2856749215776963,0.41188434337255964,0.5579970627215283,0.6600981645756688,0.9401858791394088
stream,TKN,RF-PCA,False,test_rmse,0.20079114429088527,0.035681513315052295,0.1343262262160269,0.17721699959306783,0.19770026766105836,0.23164924629622674,0.2701990917086278
stream,TKN,RF-PCA,True,test_rmse,0.4618533726092826,0.1456801498101741,0.2310055825950041,0.3946176285931046,0.4473542914119144,0.5578992660384107,0.8287654725924322
stream,TKN,XGB-PCA,False,test_rmse,0.20669729422800603,0.03361742233398878,0.1607731357596624,0.18074299320604387,0.19553259871575135,0.23500533668417506,0.2740153347693759
stream,TKN,XGB-PCA,True,test_rmse,0.4887179500801614,0.16845574426320417,0.2065597259918175,0.3732148199015392,0.4750943364814375,0.5765934960473796,0.8899603299870649
stream,ON,DL,False,test_rmse,0.27524479127510476,0.03729371302164425,0.2052456394271635,0.25588278014036087,0.2644117306566989,0.29590642677617895,0.3499804302352978
stream,ON,DL,True,test_rmse,0.3549460236420704,0.07828126277182244,0.2440778466394142,0.27541449587621064,0.3541232487038697,0.3967067949239124,0.4910646835454106
stream,ON,PLS,False,test_rmse,0.2197699655498543,0.044670793975810585,0.1219947567389421,0.20364544901216042,0.22048566406122175,0.24936650209880065,0.2924629438687476
stream,ON,PLS,True,test_rmse,0.5705897608656227,0.1374753297010867,0.313724726979404,0.47733848625925246,0.5610340467889711,0.6682978706464118,0.794752819866335
stream,ON,RF-PCA,False,test_rmse,0.22663510436488882,0.04798321725619421,0.1439927647682311,0.19524818669723693,0.2223577037765517,0.259607544310014,0.3092913762657605
stream,ON,RF-PCA,True,test_rmse,0.4167847039181437,0.13515052768068445,0.1700541099252686,0.3017987819463436,0.4106005205929487,0.533937585720202,0.6295005440581569
stream,ON,XGB-PCA,False,test_rmse,0.22837068951846992,0.04189072515444063,0.1535796560350252,0.1929324562067457,0.2400856411427822,0.2579519400578501,0.306247255367867
stream,ON,XGB-PCA,True,test_rmse,0.5288848459933845,0.2570107151727922,0.233964070474408,0.33508440535141565,0.4271982375680502,0.670587994395015,1.1475719547757692
