,count,mean,std,min,25%,50%,75%,max
Ammonium-N,179.0,0.05514910022346369,0.09875100147939997,-0.040933333,0.011028544500000001,0.0221,0.050483333,0.7161
Nitrate-N,179.0,0.5696125331955306,0.9823250822914892,-0.013,0.0908333335,0.172333333,0.36171195749999996,5.165333333
TKN,89.0,0.5479775280898876,0.26815099111271123,-0.18,0.39,0.53,0.66,1.31
ON,59.0,0.49123829344067793,0.28162085937122944,-0.2016,0.367511266,0.50662425,0.639198189,1.3036
TN,59.0,1.0216884764237288,0.9050145076729197,0.009333333,0.5859805840000001,0.758,0.965422157,4.027604111
Phosphate-P,209.0,0.2787328358325359,0.23755184399653517,0.02678,0.09,0.1596,0.45435,0.996333333
TP,89.0,0.327643595505618,0.24889586622378665,0.06184,0.13222,0.18969,0.51935,0.85157
OP,89.0,0.07532000000000001,0.058659917455696216,-0.00082,0.0436,0.06275,0.09003,0.46541
