origin,analyte,count,mean,std,min,25%,50%,75%,max,sample_type
natural,Ammonium-N,177.0,0.05451261368926554,0.0987023621594071,-0.040933333,0.010354731,0.022166667,0.050433333,0.7161,Streams
natural,Nitrate-N,177.0,0.5275046325367231,0.9309369114057239,-0.013,0.090666667,0.172333333,0.337,5.165333333,Streams
natural,ON,56.0,0.4603730718392857,0.30657133441691176,-0.205166667,0.3496002325,0.46580596799999996,0.6294903725,1.138666667,Streams
natural,OP,70.0,0.041442714285714284,0.026330871170241424,-0.00183,0.0204525,0.035935,0.060164999999999996,0.1123,Streams
natural,Phosphate-P,191.0,0.27435181294764394,0.23382860865198785,0.03695,0.09016666649999999,0.16336,0.42907,0.996333333,Streams
natural,TKN,70.0,0.5354285714285715,0.2994569273631112,-0.19,0.39,0.54,0.715,1.22,Streams
natural,TN,56.0,1.0097114809107144,0.95161638769216,0.007333333,0.5171666665,0.717666667,0.9134929945,3.995,Streams
natural,TP,70.0,0.27347528571428575,0.2182078182270847,0.05394,0.1042975,0.165045,0.4248525,0.7878,Streams
synthetic,Ammonium-N,50.0,0.12380000000000001,0.0725030611598643,0.0,0.07,0.11,0.1775,0.29,Streams
synthetic,Nitrate-N,50.0,5.7606,2.956617903715566,0.27,3.725,5.835,8.2075,10.95,Streams
synthetic,ON,50.0,3.549024,2.7366533189250832,-0.4006,1.427675,2.62685,4.9018,10.8147,Streams
synthetic,OP,50.0,0.057410824,0.023014360962611398,0.0199326,0.038988075000000004,0.0545795,0.076603475,0.1140064,Streams
synthetic,Phosphate-P,50.0,0.15967662,0.07468020741154806,0.0190397,0.09701847499999999,0.16638495,0.211572075,0.3009717,Streams
synthetic,TKN,50.0,3.673,2.753355096189789,-0.29,1.55,2.79,5.0575,11.03,Streams
synthetic,TN,50.0,9.433298,4.155160876597209,1.0612,6.2719249999999995,9.827449999999999,11.500925,20.6413,Streams
synthetic,TP,50.0,0.21708744400000002,0.0871356954965168,0.0626944,0.1438047,0.228706,0.270439025,0.414831,Streams
natural,Ammonium-N,63.0,2.112063492063492,3.275372009765509,0.01,0.04,0.1,4.465,13.67,HNS
natural,Boron,63.0,0.3517460317460317,0.08865554369325904,0.21,0.315,0.34,0.37,0.85,HNS
natural,Calcium,63.0,179.90238095238095,24.199701991919156,139.2,163.815,175.84,192.66,234.02,HNS
natural,Copper,63.0,0.4996825396825397,0.11939320040573248,0.31,0.4,0.48,0.605,0.79,HNS
natural,Iron,63.0,2.133809523809524,0.40219329557391714,1.43,1.81,2.13,2.41,3.04,HNS
natural,Magnesium,63.0,49.13031746031746,8.365020673335803,27.34,44.489999999999995,48.58,53.805,65.83,HNS
natural,Manganese,63.0,0.28,0.1852113004285959,0.01,0.125,0.29,0.405,0.65,HNS
natural,Molybdenum,61.0,0.07770491803278687,0.037964608195131394,-0.1,0.07,0.08,0.1,0.12,HNS
natural,Nitrate-N,63.0,189.69253968253972,26.88388544596534,134.3,174.24,186.18,202.45499999999998,284.78,HNS
natural,Phosphorus,63.0,32.805873015873026,10.448664775774851,0.36,27.065,34.99,39.525000000000006,69.91,HNS
natural,Potassium,63.0,115.75174603174601,40.69094539605565,0.04,92.36,126.74,145.17000000000002,178.82,HNS
natural,Sulfate,63.0,182.82698412698412,34.396469653567294,102.37,160.85500000000002,180.48,207.17000000000002,257.75,HNS
natural,Zinc,63.0,0.2631746031746032,0.19611406651878277,0.01,0.20500000000000002,0.26,0.305,1.01,HNS
natural,pH,63.0,6.093650793650793,0.28841782855781506,5.4,5.9,6.1,6.2,7.1,HNS
synthetic,Ammonium-N,46.0,9.67891304347826,5.000819145460458,0.54,5.915,10.73,13.9275,17.11,HNS
synthetic,Boron,46.0,0.32739130434782604,0.19680147676285015,0.02,0.2025,0.28500000000000003,0.48,0.69,HNS
synthetic,Calcium,46.0,164.1797826086957,72.72903798771407,37.97,99.1625,165.875,232.5125,281.85,HNS
synthetic,Copper,46.0,0.40804347826086956,0.16328052976692042,0.11,0.2925,0.375,0.55,0.73,HNS
synthetic,Iron,46.0,2.404347826086956,1.6819930666707585,-0.01,0.945,2.21,3.875,6.59,HNS
synthetic,Magnesium,46.0,48.458260869565216,23.493078536676176,3.67,29.83,48.15,64.745,99.17,HNS
synthetic,Manganese,46.0,0.8534782608695651,0.5012793294996063,0.09,0.36,0.9,1.3175000000000001,1.64,HNS
synthetic,Molybdenum,46.0,0.016956521739130433,0.05557255778479123,-0.05,-0.02,0.0,0.0475,0.22,HNS
synthetic,Nitrate-N,46.0,165.35978260869567,55.181987580052095,66.82,122.05,177.695,213.725,258.01,HNS
synthetic,Phosphorus,46.0,46.48391304347827,24.381480720530572,0.05,27.7725,46.53,64.81,98.9,HNS
synthetic,Potassium,46.0,190.73391304347825,72.69352612099225,42.03,129.6575,187.27999999999997,255.31,310.43,HNS
synthetic,Sulfate,46.0,63.17260869565217,31.45258021104735,3.91,38.36750000000001,67.245,86.0775,119.18,HNS
synthetic,Zinc,46.0,0.5330434782608695,0.3677189117622764,0.02,0.2475,0.54,0.75,1.82,HNS
synthetic,pH,46.0,6.266521739130434,1.1941658499951695,3.44,5.2924999999999995,6.6,7.217499999999999,7.8,HNS
natural,Ammonium-N,57.0,2.1959649122807017,3.3115759410034036,0.01,0.03,0.1,4.9,13.67,HNSd30
natural,Boron,57.0,0.35385964912280704,0.09211317545678159,0.21,0.32,0.34,0.37,0.85,HNSd30
natural,Calcium,57.0,178.9319298245614,23.610919041727016,139.2,163.76,175.27,192.15,234.02,HNSd30
