,count,mean,std,min,25%,50%,75%,max
Ammonium-N,177.0,0.05451261368926554,0.0987023621594071,-0.040933333,0.010354731,0.022166667,0.050433333,0.7161
Nitrate-N,177.0,0.5275046325367231,0.9309369114057239,-0.013,0.090666667,0.172333333,0.337,5.165333333
TKN,70.0,0.5354285714285715,0.2994569273631112,-0.19,0.39,0.54,0.715,1.22
ON,56.0,0.4603730718392857,0.30657133441691176,-0.205166667,0.3496002325,0.46580596799999996,0.6294903725,1.138666667
TN,56.0,1.0097114809107144,0.95161638769216,0.007333333,0.5171666665,0.717666667,0.9134929945,3.995
Phosphate-P,191.0,0.27435181294764394,0.23382860865198785,0.03695,0.09016666649999999,0.16336,0.42907,0.996333333
TP,70.0,0.27347528571428575,0.2182078182270847,0.05394,0.1042975,0.165045,0.4248525,0.7878
OP,70.0,0.041442714285714284,0.026330871170241424,-0.00183,0.0204525,0.035935,0.060164999999999996,0.1123
