,sum_sq,df,F,PR(>F)
C(model),16.638537192813093,3.0,9.799409759176074,2.1749258078050166e-06
C(species),167.20472071764388,7.0,42.204282907287556,1.7701452601378382e-53
C(syn_aug),122.51646063927386,1.0,216.47137355923303,3.214409344935683e-45
C(model):C(syn_aug),19.842944960800487,3.0,11.68667330825531,1.4956167769799053e-07
C(species):C(syn_aug),158.7927643986608,7.0,40.08101400216122,6.494150758632931e-51
C(model):C(species),29.77442430325714,21.0,2.505129084280457,0.00019719575664067768
C(model):C(species):C(syn_aug),42.96091648908273,21.0,3.6146002450959807,7.335302184715884e-08
Residual,688.2204038705914,1216.0,,
