perf_met,species,model,syn1,syn2,meandiff,pvalue,reject
test_rmse,Ammonium-N,DL,False,True,-0.12463206042820518,0.43604028017500585,False
test_rmse,Ammonium-N,PLS,False,True,0.015519981739991362,0.9141401814254706,False
test_rmse,Ammonium-N,RF-PCA,False,True,0.04324646747274352,0.7584387639042179,False
test_rmse,Ammonium-N,XGB-PCA,False,True,-0.10340336890715074,0.4419282775597748,False
test_rmse,Nitrate-N,DL,False,True,0.8311939187578237,7.749466827133844e-07,True
test_rmse,Nitrate-N,PLS,False,True,1.1504264558610346,4.9107384825219924e-12,True
test_rmse,Nitrate-N,RF-PCA,False,True,0.5142010619905595,0.0015629014019664655,True
test_rmse,Nitrate-N,XGB-PCA,False,True,0.5794130215427068,0.0002712301735925404,True
test_rmse,ON,DL,False,True,0.2392884796889243,0.00022150229275952338,True
test_rmse,ON,PLS,False,True,0.9467607035865225,1.1102230246251565e-15,True
test_rmse,ON,RF-PCA,False,True,0.5754791408015414,3.159308181732712e-07,True
test_rmse,ON,XGB-PCA,False,True,0.7554694155946559,3.970970652300565e-08,True
test_rmse,OP,DL,False,True,0.04849707113689927,0.3307687014220978,False
test_rmse,OP,PLS,False,True,0.019602358950988386,0.7602801767331989,False
test_rmse,OP,RF-PCA,False,True,0.02358576956352909,0.6341932435338355,False
test_rmse,OP,XGB-PCA,False,True,-0.06253125931764458,0.20449235569634305,False
test_rmse,Phosphate-P,DL,False,True,-0.15287214852448217,0.062452312785714836,False
test_rmse,Phosphate-P,PLS,False,True,-0.05683964558827315,0.388048257648252,False
test_rmse,Phosphate-P,RF-PCA,False,True,-0.01090928927059398,0.8619245579213869,False
test_rmse,Phosphate-P,XGB-PCA,False,True,-0.0314185000869609,0.6173523324519625,False
test_rmse,TKN,DL,False,True,0.28377432063344354,9.165602017857655e-05,True
test_rmse,TKN,PLS,False,True,1.0083992943946885,0.0,True
test_rmse,TKN,RF-PCA,False,True,0.8008324671455074,7.746803198926955e-12,True
test_rmse,TKN,XGB-PCA,False,True,0.816181288331791,1.5001777597944965e-11,True
test_rmse,TN,DL,False,True,0.4826058140742508,1.3290547610456116e-05,True
test_rmse,TN,PLS,False,True,1.174508803339751,0.0,True
test_rmse,TN,RF-PCA,False,True,0.1587632392699484,0.15611755622299484,False
test_rmse,TN,XGB-PCA,False,True,0.12324785869379767,0.38183161570896906,False
test_rmse,TP,DL,False,True,-0.03625281548091297,0.5578529824662266,False
test_rmse,TP,PLS,False,True,-0.09713493534466355,0.11492858154455554,False
test_rmse,TP,RF-PCA,False,True,0.0155274488044157,0.78507367988815,False
test_rmse,TP,XGB-PCA,False,True,-0.03037033389070709,0.5983618130920975,False
test_rsq,Ammonium-N,DL,False,True,-0.24926412085640987,0.3074922721810234,False
test_rsq,Ammonium-N,PLS,False,True,0.031039963479981503,0.891791449872833,False
test_rsq,Ammonium-N,RF-PCA,False,True,0.08649293494548566,0.713549547923455,False
test_rsq,Ammonium-N,XGB-PCA,False,True,-0.20680673781430203,0.4662521176839003,False
test_rsq,Nitrate-N,DL,False,True,1.6623878375156464,0.004540890146290666,True
test_rsq,Nitrate-N,PLS,False,True,2.3008529117220697,2.47491416105472e-05,True
test_rsq,Nitrate-N,RF-PCA,False,True,1.028402123981119,0.04595854463665128,True
test_rsq,Nitrate-N,XGB-PCA,False,True,1.1588260430854138,0.02026853942124296,True
test_rsq,ON,DL,False,True,0.4785769593778481,0.009374930302266438,True
test_rsq,ON,PLS,False,True,1.8935214071730444,4.2932324362254803e-13,True
test_rsq,ON,RF-PCA,False,True,1.150958281603083,8.296696663023795e-12,True
test_rsq,ON,XGB-PCA,False,True,1.5109388311893113,1.6111640022131724e-08,True
test_rsq,OP,DL,False,True,0.09699414227379968,0.058957658248221856,False
test_rsq,OP,PLS,False,True,0.03920471790197827,0.6136065869841514,False
test_rsq,OP,RF-PCA,False,True,0.04717153912705875,0.22431619267256186,False
test_rsq,OP,XGB-PCA,False,True,-0.12506251863528667,0.09527658963088304,False
test_rsq,Phosphate-P,DL,False,True,-0.30574429704896317,0.020817447227532537,True
test_rsq,Phosphate-P,PLS,False,True,-0.11367929117654682,0.07882442154253566,False
test_rsq,Phosphate-P,RF-PCA,False,True,-0.021818578541188238,0.7408222250703367,False
test_rsq,Phosphate-P,XGB-PCA,False,True,-0.06283700017392216,0.47868060874770924,False
test_rsq,TKN,DL,False,True,0.5675486412668871,0.0002409923043957818,True
test_rsq,TKN,PLS,False,True,2.016798588789376,5.10702591327572e-15,True
test_rsq,TKN,RF-PCA,False,True,1.6016649342910154,3.40394379350073e-13,True
test_rsq,TKN,XGB-PCA,False,True,1.6323625766635814,5.295874849764459e-12,True
test_rsq,TN,DL,False,True,0.9652116281485013,0.00013993816822122085,True
test_rsq,TN,PLS,False,True,2.349017606679501,2.611244553918368e-13,True
test_rsq,TN,RF-PCA,False,True,0.3175264785398965,0.2015461225598041,False
test_rsq,TN,XGB-PCA,False,True,0.24649571738759546,0.43196881011592936,False
test_rsq,TP,DL,False,True,-0.07250563096182577,0.4956239414365642,False
test_rsq,TP,PLS,False,True,-0.194269870689327,0.0777569357526744,False
test_rsq,TP,RF-PCA,False,True,0.031054897608831955,0.6570325825713552,False
test_rsq,TP,XGB-PCA,False,True,-0.060740667781413404,0.5783912963467117,False
