perf_met,species,model,trmt1,trmt2,meandiff,pvalue,reject
test_rmse,TKN,DL,fil,unf,0.03740097091173067,0.8785290212145735,False
test_rmse,TKN,PLS,comb,fil,-0.008569890865167462,0.9933964351866976,False
test_rmse,TKN,PLS,comb,unf,0.04071728893663096,0.8614783470557927,False
test_rmse,TKN,PLS,fil,unf,0.04928717980179842,0.8040031393372123,False
test_rmse,TKN,RF-PCA,comb,fil,0.05952671450300717,0.6178610331815603,False
test_rmse,TKN,RF-PCA,comb,unf,0.07592883064481071,0.459126878392328,False
test_rmse,TKN,RF-PCA,fil,unf,0.016402116141803535,0.9637657205474586,False
test_rmse,TKN,XGB-PCA,comb,fil,0.08077525870174584,0.46768272339048844,False
test_rmse,TKN,XGB-PCA,comb,unf,0.041102327655874404,0.8194240027681,False
test_rmse,TKN,XGB-PCA,fil,unf,-0.03967293104587144,0.8306084593751085,False
test_rmse,TN,DL,comb,fil,0.15514500759216698,0.3115653954016431,False
test_rmse,TN,DL,comb,unf,0.3476143845890627,0.004695918621890338,True
test_rmse,TN,DL,fil,unf,0.1924693769968957,0.1700296428514102,False
test_rmse,TN,PLS,comb,fil,-0.05947259900693069,0.7609148632839581,False
test_rmse,TN,PLS,comb,unf,-0.11036130034853953,0.39542672300896364,False
test_rmse,TN,PLS,fil,unf,-0.05088870134160883,0.8184316381523362,False
test_rmse,TN,RF-PCA,comb,fil,0.12933200415157475,0.46569898691563605,False
test_rmse,TN,RF-PCA,comb,unf,-0.10800687683727594,0.5853247475560219,False
test_rmse,TN,RF-PCA,fil,unf,-0.2373388809888507,0.08361999034518453,False
test_rmse,TN,XGB-PCA,comb,fil,0.14466063950086505,0.4610308907530013,False
test_rmse,TN,XGB-PCA,comb,unf,-0.13131320634708255,0.5273789747825459,False
test_rmse,TN,XGB-PCA,fil,unf,-0.2759738458479476,0.06687527784979197,False
test_rmse,TP,DL,comb,fil,-0.024394805454960533,0.9395627926049908,False
test_rmse,TP,DL,comb,unf,0.04581755803357512,0.8031868671883146,False
test_rmse,TP,DL,fil,unf,0.07021236348853566,0.5996151938327483,False
test_rmse,TP,PLS,comb,fil,-0.001956363918369508,0.999307466528328,False
test_rmse,TP,PLS,comb,unf,0.076927160411977,0.3508466801030786,False
test_rmse,TP,PLS,fil,unf,0.07888352433034651,0.33283108209346823,False
test_rmse,TP,RF-PCA,comb,fil,0.025509408357073715,0.8525001053842679,False
test_rmse,TP,RF-PCA,comb,unf,0.044155633645251546,0.6219371243034097,False
test_rmse,TP,RF-PCA,fil,unf,0.01864622528817783,0.9181450804807113,False
test_rmse,TP,XGB-PCA,comb,fil,0.030249852268663613,0.8420150270204381,False
test_rmse,TP,XGB-PCA,comb,unf,0.036714236493669006,0.7765726426300534,False
