,sum_sq,df,F,PR(>F)
C(model),4.777458258102047,3.0,16.7912334423194,1.7206822744354952e-10
C(species),442.51018938309386,7.0,666.5491644703573,2.1842387071671435e-280
C(model):C(species),18.341762090106215,21.0,9.209344394320256,2.086789467260117e-25
Residual,57.66291938199258,608.0,,
