perf_met,model,sp1,sp2,meandiff,pvalue,reject
test_rmse,PLS,Phosphate-P,TN,0.6190472909972389,0.001,True
test_rmse,PLS,Phosphate-P,TP,0.03305640328050874,0.9,False
test_rmse,PLS,TKN,TN,0.43563915466765013,0.001,True
test_rmse,PLS,TKN,TP,-0.15035173304908,0.018712537151204245,True
test_rmse,PLS,TN,TP,-0.5859908877167301,0.001,True
test_rmse,RF-PCA,Ammonium-N,Nitrate-N,1.2539137936191087,0.001,True
test_rmse,RF-PCA,Ammonium-N,ON,1.0438940693843453,0.001,True
test_rmse,RF-PCA,Ammonium-N,OP,-0.70636042929263,0.001,True
test_rmse,RF-PCA,Ammonium-N,Phosphate-P,0.6248830086551684,0.001,True
test_rmse,RF-PCA,Ammonium-N,TKN,0.9348602996806934,0.001,True
test_rmse,RF-PCA,Ammonium-N,TN,1.609992687166646,0.001,True
test_rmse,RF-PCA,Ammonium-N,TP,0.709076093403102,0.001,True
test_rmse,RF-PCA,Nitrate-N,ON,-0.21001972423476345,0.008065223991808979,True
test_rmse,RF-PCA,Nitrate-N,OP,-1.9602742229117387,0.001,True
test_rmse,RF-PCA,Nitrate-N,Phosphate-P,-0.6290307849639403,0.001,True
test_rmse,RF-PCA,Nitrate-N,TKN,-0.3190534939384153,0.001,True
test_rmse,RF-PCA,Nitrate-N,TN,0.3560788935475372,0.001,True
test_rmse,RF-PCA,Nitrate-N,TP,-0.5448377002160067,0.001,True
test_rmse,RF-PCA,ON,OP,-1.7502544986769752,0.001,True
test_rmse,RF-PCA,ON,Phosphate-P,-0.4190110607291768,0.001,True
test_rmse,RF-PCA,ON,TKN,-0.10903376970365186,0.5445919815093727,False
test_rmse,RF-PCA,ON,TN,0.5660986177823006,0.001,True
test_rmse,RF-PCA,ON,TP,-0.3348179759812433,0.001,True
test_rmse,RF-PCA,OP,Phosphate-P,1.3312434379477984,0.001,True
test_rmse,RF-PCA,OP,TKN,1.6412207289733234,0.001,True
test_rmse,RF-PCA,OP,TN,2.316353116459276,0.001,True
test_rmse,RF-PCA,OP,TP,1.415436522695732,0.001,True
test_rmse,RF-PCA,Phosphate-P,TKN,0.30997729102552496,0.001,True
test_rmse,RF-PCA,Phosphate-P,TN,0.9851096785114775,0.001,True
test_rmse,RF-PCA,Phosphate-P,TP,0.08419308474793352,0.7998298406477473,False
