perf_met,species,mod1,mod2,meandiff,pvalue,reject
test_rsq,OP,PLS,RF-PCA,-0.0961952441408401,0.3565631245598837,False
test_rsq,OP,PLS,XGB-PCA,0.07219964630440526,0.591648400226614,False
test_rsq,OP,RF-PCA,XGB-PCA,0.16839489044524536,0.02515566410823533,True
test_rsq,Phosphate-P,DL,PLS,0.2088877998369803,0.001,True
test_rsq,Phosphate-P,DL,RF-PCA,-0.07312600006450953,0.4113650733620209,False
test_rsq,Phosphate-P,DL,XGB-PCA,-0.04329329531710846,0.7690311039497628,False
test_rsq,Phosphate-P,PLS,RF-PCA,-0.28201379990148984,0.001,True
test_rsq,Phosphate-P,PLS,XGB-PCA,-0.25218109515408876,0.001,True
test_rsq,Phosphate-P,RF-PCA,XGB-PCA,0.029832704747401073,0.9,False
test_rsq,TKN,DL,PLS,0.08334714198699872,0.5372789667470728,False
test_rsq,TKN,DL,RF-PCA,0.05447165097209433,0.7948824982285223,False
test_rsq,TKN,DL,XGB-PCA,0.05646756450753604,0.7770757724966949,False
test_rsq,TKN,PLS,RF-PCA,-0.028875491014904386,0.9,False
test_rsq,TKN,PLS,XGB-PCA,-0.02687957747946268,0.9,False
test_rsq,TKN,RF-PCA,XGB-PCA,0.001995913535441707,0.9,False
test_rsq,TN,DL,PLS,0.31164000080798915,0.30973100073462845,False
test_rsq,TN,DL,RF-PCA,0.7617509750120861,0.001,True
test_rsq,TN,DL,XGB-PCA,0.6966666251491183,0.0011860300467919638,True
test_rsq,TN,PLS,RF-PCA,0.45011097420409696,0.06555383844119589,False
test_rsq,TN,PLS,XGB-PCA,0.3850266243411291,0.1462810796744407,False
test_rsq,TN,RF-PCA,XGB-PCA,-0.06508434986296785,0.9,False
test_rsq,TP,DL,PLS,0.23181089863363474,0.004681438910279168,True
test_rsq,TP,DL,RF-PCA,0.05207046090463707,0.8476330517580362,False
test_rsq,TP,DL,XGB-PCA,-0.11231917740395747,0.3407690842119324,False
test_rsq,TP,PLS,RF-PCA,-0.17974043772899767,0.0426241139891812,True
test_rsq,TP,PLS,XGB-PCA,-0.3441300760375922,0.001,True
test_rsq,TP,RF-PCA,XGB-PCA,-0.16438963830859454,0.07459650678546326,False
