,sum_sq,df,F,PR(>F)
C(model),2.43636450365326,3.0,26.3660755992382,4.823233711744563e-16
C(species),246.14422520859716,7.0,1141.6056131000153,0.0
C(model):C(species),5.461196921681731,21.0,8.442926844688824,5.338151436079856e-23
Residual,18.727469352877854,608.0,,
