,sum_sq,df,F,PR(>F)
C(model),4.159634298203191,3.0,14.540203955492528,2.617340777161678e-09
C(species),1223.6091967005416,7.0,1833.0794769483393,0.0
C(syn_aug),30.629115159817484,1.0,321.196684231874,6.399385034927144e-64
C(model):C(syn_aug),4.960736240200069,3.0,17.340494748076708,4.988194288979794e-11
C(species):C(syn_aug),39.69819109966535,7.0,59.471553150298064,1.6600391842081008e-73
C(model):C(species),7.443606075814238,21.0,3.7170695700489977,3.394571143105241e-08
C(model):C(species):C(syn_aug),10.740229122270602,21.0,5.363284735803153,8.60917431098106e-14
Residual,115.9570003762886,1216.0,,
