species_model,perf_met,letter,factor_levs
Magnesium_XGB-PCA,test_rsq,a,False
Magnesium_XGB-PCA,test_rsq,b,True
Manganese_DL,test_rsq,a,False
Manganese_DL,test_rsq,b,True
Manganese_PLS,test_rsq,a,False
Manganese_PLS,test_rsq,b,True
Manganese_RF-PCA,test_rsq,a,False
Manganese_RF-PCA,test_rsq,b,True
Manganese_XGB-PCA,test_rsq,a,False
Manganese_XGB-PCA,test_rsq,b,True
Molybdenum_DL,test_rsq,a,False
Molybdenum_DL,test_rsq,b,True
Molybdenum_PLS,test_rsq,a,False
Molybdenum_PLS,test_rsq,b,True
Molybdenum_RF-PCA,test_rsq,a,False
Molybdenum_RF-PCA,test_rsq,b,True
Molybdenum_XGB-PCA,test_rsq,a,False
Molybdenum_XGB-PCA,test_rsq,b,True
Nitrate-N_DL,test_rsq,a,False True
Nitrate-N_PLS,test_rsq,a,False True
Nitrate-N_RF-PCA,test_rsq,a,False True
Nitrate-N_XGB-PCA,test_rsq,a,False True
Phosphorus_DL,test_rsq,a,False True
Phosphorus_PLS,test_rsq,a,False
Phosphorus_PLS,test_rsq,b,True
Phosphorus_RF-PCA,test_rsq,a,False
Phosphorus_RF-PCA,test_rsq,b,True
Phosphorus_XGB-PCA,test_rsq,a,False
Phosphorus_XGB-PCA,test_rsq,b,True
Potassium_DL,test_rsq,a,False
Potassium_DL,test_rsq,b,True
Potassium_PLS,test_rsq,a,False
Potassium_PLS,test_rsq,b,True
Potassium_RF-PCA,test_rsq,a,False
Potassium_RF-PCA,test_rsq,b,True
Potassium_XGB-PCA,test_rsq,a,False
Potassium_XGB-PCA,test_rsq,b,True
Sulfate_DL,test_rsq,a,False
Sulfate_DL,test_rsq,b,True
Sulfate_PLS,test_rsq,a,False
Sulfate_PLS,test_rsq,b,True
Sulfate_RF-PCA,test_rsq,a,False
Sulfate_RF-PCA,test_rsq,b,True
Sulfate_XGB-PCA,test_rsq,a,False
Sulfate_XGB-PCA,test_rsq,b,True
Zinc_DL,test_rsq,a,False True
Zinc_PLS,test_rsq,a,False True
Zinc_RF-PCA,test_rsq,a,False
Zinc_RF-PCA,test_rsq,b,True
Zinc_XGB-PCA,test_rsq,a,False True
pH_DL,test_rsq,a,False
pH_DL,test_rsq,b,True
pH_PLS,test_rsq,a,False
pH_PLS,test_rsq,b,True
pH_RF-PCA,test_rsq,a,False
pH_RF-PCA,test_rsq,b,True
pH_XGB-PCA,test_rsq,a,False
pH_XGB-PCA,test_rsq,b,True
