,sum_sq,df,F,PR(>F)
C(model),9.97576150105021,3.0,13.629541011052225,9.944899199262312e-09
C(species),442.13549197719414,13.0,139.4018234106859,4.8573449630959713e-219
C(model):C(species),19.34764584641303,39.0,2.0333865663614863,0.0002191604221884503
Residual,259.5883512269497,1064.0,,
