"comparison","p","comp1","comp2","sp1","sp2","mod1","mod2"
"Magnesium_DL - Magnesium_XGB-PCA",0.474665635527694,"Magnesium_DL","Magnesium_XGB-PCA","Magnesium","Magnesium","DL","XGB-PCA"
"Magnesium_PLS - Magnesium_XGB-PCA",0.406867208406002,"Magnesium_PLS","Magnesium_XGB-PCA","Magnesium","Magnesium","PLS","XGB-PCA"
"Magnesium_RF-PCA - Magnesium_XGB-PCA",0.432269888791158,"Magnesium_RF-PCA","Magnesium_XGB-PCA","Magnesium","Magnesium","RF-PCA","XGB-PCA"
"Manganese_DL - Manganese_PLS",0.241814167966392,"Manganese_DL","Manganese_PLS","Manganese","Manganese","DL","PLS"
"Manganese_DL - Manganese_RF-PCA",0.211514971195286,"Manganese_DL","Manganese_RF-PCA","Manganese","Manganese","DL","RF-PCA"
"Manganese_PLS - Manganese_RF-PCA",0.459895542661724,"Manganese_PLS","Manganese_RF-PCA","Manganese","Manganese","PLS","RF-PCA"
"Manganese_DL - Manganese_XGB-PCA",0.313523676884846,"Manganese_DL","Manganese_XGB-PCA","Manganese","Manganese","DL","XGB-PCA"
"Manganese_PLS - Manganese_XGB-PCA",0.415042753892429,"Manganese_PLS","Manganese_XGB-PCA","Manganese","Manganese","PLS","XGB-PCA"
"Manganese_RF-PCA - Manganese_XGB-PCA",0.376271199290056,"Manganese_RF-PCA","Manganese_XGB-PCA","Manganese","Manganese","RF-PCA","XGB-PCA"
"Molybdenum_DL - Molybdenum_PLS",0.423446657995923,"Molybdenum_DL","Molybdenum_PLS","Molybdenum","Molybdenum","DL","PLS"
"Molybdenum_DL - Molybdenum_RF-PCA",0.483623686676751,"Molybdenum_DL","Molybdenum_RF-PCA","Molybdenum","Molybdenum","DL","RF-PCA"
"Molybdenum_PLS - Molybdenum_RF-PCA",0.439584411337777,"Molybdenum_PLS","Molybdenum_RF-PCA","Molybdenum","Molybdenum","PLS","RF-PCA"
"Molybdenum_DL - Molybdenum_XGB-PCA",0.480506673855494,"Molybdenum_DL","Molybdenum_XGB-PCA","Molybdenum","Molybdenum","DL","XGB-PCA"
"Molybdenum_PLS - Molybdenum_XGB-PCA",0.442670540899812,"Molybdenum_PLS","Molybdenum_XGB-PCA","Molybdenum","Molybdenum","PLS","XGB-PCA"
"Molybdenum_RF-PCA - Molybdenum_XGB-PCA",0.496879857489451,"Molybdenum_RF-PCA","Molybdenum_XGB-PCA","Molybdenum","Molybdenum","RF-PCA","XGB-PCA"
"Nitrate-N_DL - Nitrate-N_PLS",0.437464813382883,"Nitrate-N_DL","Nitrate-N_PLS","Nitrate-N","Nitrate-N","DL","PLS"
"Nitrate-N_DL - Nitrate-N_RF-PCA",0.298266818865361,"Nitrate-N_DL","Nitrate-N_RF-PCA","Nitrate-N","Nitrate-N","DL","RF-PCA"
"Nitrate-N_PLS - Nitrate-N_RF-PCA",0.354949445461636,"Nitrate-N_PLS","Nitrate-N_RF-PCA","Nitrate-N","Nitrate-N","PLS","RF-PCA"
"Nitrate-N_DL - Nitrate-N_XGB-PCA",0.33531874710182,"Nitrate-N_DL","Nitrate-N_XGB-PCA","Nitrate-N","Nitrate-N","DL","XGB-PCA"
"Nitrate-N_PLS - Nitrate-N_XGB-PCA",0.39439843735148,"Nitrate-N_PLS","Nitrate-N_XGB-PCA","Nitrate-N","Nitrate-N","PLS","XGB-PCA"
