perf_met,model,sp1,sp2,meandiff,pvalue,reject
test_rmse,All,Phosphorus,Potassium,0.9391029169701786,0.001,True
test_rmse,All,Phosphorus,Sulfate,0.47209278297432933,0.001,True
test_rmse,All,Phosphorus,Zinc,-4.125431586512384,0.001,True
test_rmse,All,Phosphorus,pH,-3.641187189299911,0.001,True
test_rmse,All,Potassium,Sulfate,-0.46701013399584923,0.001,True
test_rmse,All,Potassium,Zinc,-5.064534503482562,0.001,True
test_rmse,All,Potassium,pH,-4.580290106270089,0.001,True
test_rmse,All,Sulfate,Zinc,-4.597524369486713,0.001,True
test_rmse,All,Sulfate,pH,-4.11327997227424,0.001,True
test_rmse,All,Zinc,pH,0.48424439721247325,0.001,True
test_rmse,DL,Ammonium-N,Boron,-3.48276361046747,0.001,True
test_rmse,DL,Ammonium-N,Calcium,1.5867319582204917,0.001,True
test_rmse,DL,Ammonium-N,Copper,-3.438788422747502,0.001,True
test_rmse,DL,Ammonium-N,Iron,-2.9011226380186796,0.001,True
test_rmse,DL,Ammonium-N,Magnesium,0.4279555400495576,0.014395638024844892,True
test_rmse,DL,Ammonium-N,Manganese,-2.5519806176097566,0.001,True
test_rmse,DL,Ammonium-N,Molybdenum,-5.03920807983144,0.001,True
test_rmse,DL,Ammonium-N,Nitrate-N,2.4321818639870325,0.001,True
test_rmse,DL,Ammonium-N,Phosphorus,1.4756496259489373,0.001,True
test_rmse,DL,Ammonium-N,Potassium,2.3090749698815354,0.001,True
test_rmse,DL,Ammonium-N,Sulfate,1.8350312525636143,0.001,True
test_rmse,DL,Ammonium-N,Zinc,-2.680314774884259,0.001,True
test_rmse,DL,Ammonium-N,pH,-2.1888541043600833,0.001,True
test_rmse,DL,Boron,Calcium,5.069495568687962,0.001,True
test_rmse,DL,Boron,Copper,0.04397518771996811,0.9,False
test_rmse,DL,Boron,Iron,0.5816409724487905,0.001,True
test_rmse,DL,Boron,Magnesium,3.9107191505170276,0.001,True
test_rmse,DL,Boron,Manganese,0.9307829928577138,0.001,True
test_rmse,DL,Boron,Molybdenum,-1.5564444693639699,0.001,True
test_rmse,DL,Boron,Nitrate-N,5.914945474454503,0.001,True
