perf_met,species,model,trmt1,trmt2,meandiff,pvalue,reject
test_rsq,Ammonium-N,RF-PCA,diluted,undiluted,-0.21038289966714196,0.016238060379763608,True
test_rsq,Ammonium-N,XGB-PCA,diluted,undiluted,-0.16077811522505686,0.09523720015967696,False
test_rsq,Boron,DL,diluted,undiluted,-0.20556466791650313,0.3139747700339439,False
test_rsq,Boron,PLS,diluted,undiluted,-0.6427969394774459,0.0001053838563950249,True
test_rsq,Boron,RF-PCA,diluted,undiluted,-0.1405084207780978,0.1522427005834499,False
test_rsq,Boron,XGB-PCA,diluted,undiluted,-0.30619105133868985,0.19459799315780557,False
test_rsq,Calcium,DL,diluted,undiluted,-1.429409860644379,1.3013007834627999e-05,True
test_rsq,Calcium,PLS,diluted,undiluted,-1.3407058232705422,1.2381651259829596e-11,True
test_rsq,Calcium,RF-PCA,diluted,undiluted,-0.9426685522183564,7.224221221235894e-13,True
test_rsq,Calcium,XGB-PCA,diluted,undiluted,-1.207685966091203,3.483879851273741e-13,True
test_rsq,Copper,DL,diluted,undiluted,-0.7396278469159445,5.112947309982019e-08,True
test_rsq,Copper,PLS,diluted,undiluted,-0.7965425399866706,6.735362815324386e-05,True
test_rsq,Copper,RF-PCA,diluted,undiluted,-0.5885781536475063,4.561795385882306e-12,True
test_rsq,Copper,XGB-PCA,diluted,undiluted,-0.5423406687676111,2.447680862438517e-07,True
test_rsq,Iron,DL,diluted,undiluted,-1.8567214520533948,2.3122022074772985e-09,True
test_rsq,Iron,PLS,diluted,undiluted,-1.55619867429563,1.1082962325659196e-09,True
test_rsq,Iron,RF-PCA,diluted,undiluted,-1.295579713739536,0.0,True
test_rsq,Iron,XGB-PCA,diluted,undiluted,-1.4544607255931998,3.8813396940895473e-13,True
test_rsq,Magnesium,DL,diluted,undiluted,-1.1134540256603733,3.6113171842933056e-05,True
test_rsq,Magnesium,PLS,diluted,undiluted,-1.544058995513138,6.261657858885883e-14,True
test_rsq,Magnesium,RF-PCA,diluted,undiluted,-0.904570408375528,1.2989609388114332e-13,True
test_rsq,Magnesium,XGB-PCA,diluted,undiluted,-1.1792510750123757,2.5563995365018854e-12,True
test_rsq,Manganese,DL,diluted,undiluted,-0.17400626954218934,0.22662876030704415,False
test_rsq,Manganese,PLS,diluted,undiluted,-0.2042069748914387,0.3340934211381478,False
test_rsq,Manganese,RF-PCA,diluted,undiluted,-0.019241317657967494,0.7244374754548477,False
test_rsq,Manganese,XGB-PCA,diluted,undiluted,0.011824218602264236,0.8748829928801819,False
test_rsq,Molybdenum,DL,diluted,undiluted,-0.09065160075612393,0.01548567877828455,True
test_rsq,Molybdenum,PLS,diluted,undiluted,-0.5712511534867759,5.9199226320583165e-05,True
test_rsq,Molybdenum,RF-PCA,diluted,undiluted,-0.1792985564033347,0.00033191651067943084,True
test_rsq,Molybdenum,XGB-PCA,diluted,undiluted,-0.22590823258983478,0.0036770138283032106,True
test_rsq,Nitrate-N,DL,diluted,undiluted,-0.08881101897859478,0.7885642472401547,False
test_rsq,Nitrate-N,PLS,diluted,undiluted,-0.0384798279648606,0.8636162867744842,False
test_rsq,Nitrate-N,RF-PCA,diluted,undiluted,-0.07783542206454347,0.3311928490439846,False
test_rsq,Nitrate-N,XGB-PCA,diluted,undiluted,-0.10428324941133427,0.24045970566137942,False
test_rsq,Phosphorus,DL,diluted,undiluted,-0.2404848480457631,0.10129096053098852,False
test_rsq,Phosphorus,PLS,diluted,undiluted,-0.08980979779156376,0.3044525419992278,False
test_rsq,Phosphorus,RF-PCA,diluted,undiluted,-0.0112810920557984,0.8038849560882739,False
test_rsq,Phosphorus,XGB-PCA,diluted,undiluted,-0.056293980349780004,0.6056952936937852,False
test_rsq,Potassium,DL,diluted,undiluted,-0.74257329336009,0.00024784159279001017,True
test_rsq,Potassium,PLS,diluted,undiluted,-1.044490928568104,5.379687852968829e-07,True
test_rsq,Potassium,RF-PCA,diluted,undiluted,-0.44326346337616435,2.608344096266535e-09,True
test_rsq,Potassium,XGB-PCA,diluted,undiluted,-0.43856573643468866,9.154895348695291e-06,True
test_rsq,Sulfate,DL,diluted,undiluted,-1.615452134796413,7.359086993452557e-06,True
test_rsq,Sulfate,PLS,diluted,undiluted,-1.591985590774768,7.930878176409806e-12,True
test_rsq,Sulfate,RF-PCA,diluted,undiluted,-0.9025438345677864,1.1884382367099988e-11,True
test_rsq,Sulfate,XGB-PCA,diluted,undiluted,-1.2144436438393396,5.772049505026189e-13,True
test_rsq,Zinc,DL,diluted,undiluted,0.308423142410157,0.07140701451339926,False
test_rsq,Zinc,PLS,diluted,undiluted,0.06856803646223955,0.5963468066971526,False
test_rsq,Zinc,RF-PCA,diluted,undiluted,0.26141639475885836,0.00165546761626012,True
test_rsq,Zinc,XGB-PCA,diluted,undiluted,0.4051335661042423,0.00545970692653297,True
test_rsq,pH,DL,diluted,undiluted,-0.3783285314833088,0.08501901215414498,False
test_rsq,pH,PLS,diluted,undiluted,-0.1611446730557205,0.08571971482828222,False
test_rsq,pH,RF-PCA,diluted,undiluted,-0.25755075047664255,7.2117498141066605e-06,True
test_rsq,pH,XGB-PCA,diluted,undiluted,-0.2396207513552379,0.010937270350367956,True
