,sum_sq,df,F,PR(>F)
C(model),143.4712946114712,3.0,182.79760319902644,1.868105093374766e-105
C(species),84.9525360751466,13.0,24.978119017202513,5.734688403351002e-57
C(syn_aug),102.7180178616876,1.0,392.6208553701168,2.502492665331253e-80
C(model):C(syn_aug),17.264236542546758,3.0,21.99646326176156,5.010784781816019e-14
C(species):C(syn_aug),47.23434366008155,13.0,13.888049870545618,3.2057174964094264e-30
C(model):C(species),39.83928059054277,39.0,3.9045736130037634,1.1639040553670351e-14
C(model):C(species):C(syn_aug),43.56083237969786,39.0,4.269315965274336,7.05558048086737e-17
Residual,556.7303392572358,2128.0,,
