,sum_sq,df,F,PR(>F)
C(model),35.86782364744867,3.0,218.07081059457275,2.4151670891322245e-123
C(species),14102.009564138974,13.0,19785.69998188946,0.0
C(syn_aug),25.679504476086382,1.0,468.38222568032364,4.813421330492961e-94
C(model):C(syn_aug),4.316059132959559,3.0,26.240970819693132,1.152947801450839e-16
C(species):C(syn_aug),11.808585917166084,13.0,16.56793218759092,9.243311124822401e-37
C(model):C(species),9.959820144963498,39.0,4.658012565881623,2.773270403021704e-19
C(model):C(species):C(syn_aug),10.89020808854548,39.0,5.0931367618281875,5.1274388930647e-22
Residual,116.66963972797795,2128.0,,
