"comparison","p","comp1","comp2","sp1","sp2","mod1","mod2"
"Phosphorus_RF-PCA - Molybdenum_PLS",7.43849426498855e-15,"Phosphorus_RF-PCA","Molybdenum_PLS","Phosphorus","Molybdenum","RF-PCA","PLS"
"Phosphorus_PLS - Molybdenum_PLS",7.43849426498855e-15,"Phosphorus_PLS","Molybdenum_PLS","Phosphorus","Molybdenum","PLS","PLS"
"Phosphorus_XGB-PCA - Molybdenum_PLS",7.43849426498855e-15,"Phosphorus_XGB-PCA","Molybdenum_PLS","Phosphorus","Molybdenum","XGB-PCA","PLS"
"Calcium_XGB-PCA - Molybdenum_PLS",7.43849426498855e-15,"Calcium_XGB-PCA","Molybdenum_PLS","Calcium","Molybdenum","XGB-PCA","PLS"
"Calcium_PLS - Molybdenum_PLS",7.43849426498855e-15,"Calcium_PLS","Molybdenum_PLS","Calcium","Molybdenum","PLS","PLS"
"Phosphorus_DL - Molybdenum_PLS",7.43849426498855e-15,"Phosphorus_DL","Molybdenum_PLS","Phosphorus","Molybdenum","DL","PLS"
"Calcium_RF-PCA - Molybdenum_PLS",7.43849426498855e-15,"Calcium_RF-PCA","Molybdenum_PLS","Calcium","Molybdenum","RF-PCA","PLS"
"Calcium_DL - Molybdenum_PLS",7.43849426498855e-15,"Calcium_DL","Molybdenum_PLS","Calcium","Molybdenum","DL","PLS"
"Sulfate_PLS - Molybdenum_PLS",7.43849426498855e-15,"Sulfate_PLS","Molybdenum_PLS","Sulfate","Molybdenum","PLS","PLS"
"Sulfate_XGB-PCA - Molybdenum_PLS",7.43849426498855e-15,"Sulfate_XGB-PCA","Molybdenum_PLS","Sulfate","Molybdenum","XGB-PCA","PLS"
"Sulfate_DL - Molybdenum_PLS",7.43849426498855e-15,"Sulfate_DL","Molybdenum_PLS","Sulfate","Molybdenum","DL","PLS"
"Sulfate_RF-PCA - Molybdenum_PLS",7.43849426498855e-15,"Sulfate_RF-PCA","Molybdenum_PLS","Sulfate","Molybdenum","RF-PCA","PLS"
