species_model,perf_met,letter,factor_levs
Magnesium_XGB-PCA,test_rsq,a,diluted
Magnesium_XGB-PCA,test_rsq,b,undiluted
Manganese_DL,test_rsq,a,diluted undiluted
Manganese_PLS,test_rsq,a,diluted undiluted
Manganese_RF-PCA,test_rsq,a,diluted undiluted
Manganese_XGB-PCA,test_rsq,a,diluted undiluted
Molybdenum_DL,test_rsq,a,diluted
Molybdenum_DL,test_rsq,b,undiluted
Molybdenum_PLS,test_rsq,a,diluted
Molybdenum_PLS,test_rsq,b,undiluted
Molybdenum_RF-PCA,test_rsq,a,diluted
Molybdenum_RF-PCA,test_rsq,b,undiluted
Molybdenum_XGB-PCA,test_rsq,a,diluted
Molybdenum_XGB-PCA,test_rsq,b,undiluted
Nitrate-N_DL,test_rsq,a,diluted undiluted
Nitrate-N_PLS,test_rsq,a,diluted undiluted
Nitrate-N_RF-PCA,test_rsq,a,diluted undiluted
Nitrate-N_XGB-PCA,test_rsq,a,diluted undiluted
Phosphorus_DL,test_rsq,a,diluted undiluted
Phosphorus_PLS,test_rsq,a,diluted undiluted
Phosphorus_RF-PCA,test_rsq,a,diluted undiluted
Phosphorus_XGB-PCA,test_rsq,a,diluted undiluted
Potassium_DL,test_rsq,a,diluted
Potassium_DL,test_rsq,b,undiluted
Potassium_PLS,test_rsq,a,diluted
Potassium_PLS,test_rsq,b,undiluted
Potassium_RF-PCA,test_rsq,a,diluted
Potassium_RF-PCA,test_rsq,b,undiluted
Potassium_XGB-PCA,test_rsq,a,diluted
Potassium_XGB-PCA,test_rsq,b,undiluted
Sulfate_DL,test_rsq,a,diluted
Sulfate_DL,test_rsq,b,undiluted
Sulfate_PLS,test_rsq,a,diluted
Sulfate_PLS,test_rsq,b,undiluted
Sulfate_RF-PCA,test_rsq,a,diluted
Sulfate_RF-PCA,test_rsq,b,undiluted
Sulfate_XGB-PCA,test_rsq,a,diluted
Sulfate_XGB-PCA,test_rsq,b,undiluted
Zinc_DL,test_rsq,a,diluted undiluted
Zinc_PLS,test_rsq,a,diluted undiluted
Zinc_RF-PCA,test_rsq,a,diluted
Zinc_RF-PCA,test_rsq,b,undiluted
Zinc_XGB-PCA,test_rsq,a,diluted
Zinc_XGB-PCA,test_rsq,b,undiluted
pH_DL,test_rsq,a,diluted undiluted
pH_PLS,test_rsq,a,diluted undiluted
pH_RF-PCA,test_rsq,a,diluted
pH_RF-PCA,test_rsq,b,undiluted
pH_XGB-PCA,test_rsq,a,diluted
pH_XGB-PCA,test_rsq,b,undiluted
