"comparison","p","comp1","comp2","sp1","sp2","mod1","mod2"
"Ammonium-N_XGB-PCA - Calcium_PLS",0.0269638685328755,"Ammonium-N_XGB-PCA","Calcium_PLS","Ammonium-N","Calcium","XGB-PCA","PLS"
"Boron_DL - Calcium_PLS",2.0516030979043e-10,"Boron_DL","Calcium_PLS","Boron","Calcium","DL","PLS"
"Boron_PLS - Calcium_PLS",3.21109882330321e-11,"Boron_PLS","Calcium_PLS","Boron","Calcium","PLS","PLS"
"Boron_RF-PCA - Calcium_PLS",4.60724980879824e-11,"Boron_RF-PCA","Calcium_PLS","Boron","Calcium","RF-PCA","PLS"
"Boron_XGB-PCA - Calcium_PLS",2.70810073695008e-10,"Boron_XGB-PCA","Calcium_PLS","Boron","Calcium","XGB-PCA","PLS"
"Calcium_DL - Calcium_PLS",0.376085658486879,"Calcium_DL","Calcium_PLS","Calcium","Calcium","DL","PLS"
"Ammonium-N_DL - Calcium_RF-PCA",0.0113226340071829,"Ammonium-N_DL","Calcium_RF-PCA","Ammonium-N","Calcium","DL","RF-PCA"
"Ammonium-N_PLS - Calcium_RF-PCA",0.00907689823969814,"Ammonium-N_PLS","Calcium_RF-PCA","Ammonium-N","Calcium","PLS","RF-PCA"
"Ammonium-N_RF-PCA - Calcium_RF-PCA",0.0105346386384319,"Ammonium-N_RF-PCA","Calcium_RF-PCA","Ammonium-N","Calcium","RF-PCA","RF-PCA"
"Ammonium-N_XGB-PCA - Calcium_RF-PCA",0.0137418814380779,"Ammonium-N_XGB-PCA","Calcium_RF-PCA","Ammonium-N","Calcium","XGB-PCA","RF-PCA"
"Boron_DL - Calcium_RF-PCA",3.35027896533954e-11,"Boron_DL","Calcium_RF-PCA","Boron","Calcium","DL","RF-PCA"
"Boron_PLS - Calcium_RF-PCA",4.85535125880621e-12,"Boron_PLS","Calcium_RF-PCA","Boron","Calcium","PLS","RF-PCA"
"Boron_RF-PCA - Calcium_RF-PCA",7.06982916942956e-12,"Boron_RF-PCA","Calcium_RF-PCA","Boron","Calcium","RF-PCA","RF-PCA"
"Boron_XGB-PCA - Calcium_RF-PCA",4.47482289382035e-11,"Boron_XGB-PCA","Calcium_RF-PCA","Boron","Calcium","XGB-PCA","RF-PCA"
"Calcium_DL - Calcium_RF-PCA",0.484597967446986,"Calcium_DL","Calcium_RF-PCA","Calcium","Calcium","DL","RF-PCA"
"Calcium_PLS - Calcium_RF-PCA",0.390828303708082,"Calcium_PLS","Calcium_RF-PCA","Calcium","Calcium","PLS","RF-PCA"
"Ammonium-N_DL - Calcium_XGB-PCA",0.0221624773314377,"Ammonium-N_DL","Calcium_XGB-PCA","Ammonium-N","Calcium","DL","XGB-PCA"
"Ammonium-N_PLS - Calcium_XGB-PCA",0.0181253529351124,"Ammonium-N_PLS","Calcium_XGB-PCA","Ammonium-N","Calcium","PLS","XGB-PCA"
"Ammonium-N_RF-PCA - Calcium_XGB-PCA",0.0207560392187559,"Ammonium-N_RF-PCA","Calcium_XGB-PCA","Ammonium-N","Calcium","RF-PCA","XGB-PCA"
"Ammonium-N_XGB-PCA - Calcium_XGB-PCA",0.0264206674429281,"Ammonium-N_XGB-PCA","Calcium_XGB-PCA","Ammonium-N","Calcium","XGB-PCA","XGB-PCA"
"Boron_DL - Calcium_XGB-PCA",1.93914556694205e-10,"Boron_DL","Calcium_XGB-PCA","Boron","Calcium","DL","XGB-PCA"
"Boron_PLS - Calcium_XGB-PCA",3.02768434152403e-11,"Boron_PLS","Calcium_XGB-PCA","Boron","Calcium","PLS","XGB-PCA"
"Boron_RF-PCA - Calcium_XGB-PCA",4.34611998995726e-11,"Boron_RF-PCA","Calcium_XGB-PCA","Boron","Calcium","RF-PCA","XGB-PCA"
"Boron_XGB-PCA - Calcium_XGB-PCA",2.56061563517987e-10,"Boron_XGB-PCA","Calcium_XGB-PCA","Boron","Calcium","XGB-PCA","XGB-PCA"
"Calcium_DL - Calcium_XGB-PCA",0.379429735731984,"Calcium_DL","Calcium_XGB-PCA","Calcium","Calcium","DL","XGB-PCA"
