"comparison","p","comp1","comp2","sp1","sp2","mod1","mod2"
"pH_DL - pH_RF-PCA",0.0250452785735231,"pH_DL","pH_RF-PCA","pH","pH","DL","RF-PCA"
"pH_PLS - pH_RF-PCA",0.026600709289412,"pH_PLS","pH_RF-PCA","pH","pH","PLS","RF-PCA"
"pH_DL - pH_XGB-PCA",0.143849458874877,"pH_DL","pH_XGB-PCA","pH","pH","DL","XGB-PCA"
"pH_PLS - pH_XGB-PCA",0.149803701768011,"pH_PLS","pH_XGB-PCA","pH","pH","PLS","XGB-PCA"
"pH_RF-PCA - pH_XGB-PCA",0.185124582779046,"pH_RF-PCA","pH_XGB-PCA","pH","pH","RF-PCA","XGB-PCA"
"Phosphorus_DL - Phosphorus_PLS",0.0541081845950104,"Phosphorus_DL","Phosphorus_PLS","Phosphorus","Phosphorus","DL","PLS"
"Phosphorus_DL - Phosphorus_RF-PCA",0.0226050277749861,"Phosphorus_DL","Phosphorus_RF-PCA","Phosphorus","Phosphorus","DL","RF-PCA"
"Phosphorus_PLS - Phosphorus_RF-PCA",0.345892858239489,"Phosphorus_PLS","Phosphorus_RF-PCA","Phosphorus","Phosphorus","PLS","RF-PCA"
"Phosphorus_DL - Phosphorus_XGB-PCA",0.16802545189693,"Phosphorus_DL","Phosphorus_XGB-PCA","Phosphorus","Phosphorus","DL","XGB-PCA"
"Phosphorus_PLS - Phosphorus_XGB-PCA",0.259701957043925,"Phosphorus_PLS","Phosphorus_XGB-PCA","Phosphorus","Phosphorus","PLS","XGB-PCA"
"Phosphorus_RF-PCA - Phosphorus_XGB-PCA",0.149008004253015,"Phosphorus_RF-PCA","Phosphorus_XGB-PCA","Phosphorus","Phosphorus","RF-PCA","XGB-PCA"
"Potassium_DL - Potassium_PLS",0.0873963518324264,"Potassium_DL","Potassium_PLS","Potassium","Potassium","DL","PLS"
"Potassium_DL - Potassium_RF-PCA",0.283026374278066,"Potassium_DL","Potassium_RF-PCA","Potassium","Potassium","DL","RF-PCA"
"Potassium_PLS - Potassium_RF-PCA",0.216787320320442,"Potassium_PLS","Potassium_RF-PCA","Potassium","Potassium","PLS","RF-PCA"
"Potassium_DL - Potassium_XGB-PCA",0.491810117750475,"Potassium_DL","Potassium_XGB-PCA","Potassium","Potassium","DL","XGB-PCA"
"Potassium_PLS - Potassium_XGB-PCA",0.0841797437845228,"Potassium_PLS","Potassium_XGB-PCA","Potassium","Potassium","PLS","XGB-PCA"
"Potassium_RF-PCA - Potassium_XGB-PCA",0.276120664245106,"Potassium_RF-PCA","Potassium_XGB-PCA","Potassium","Potassium","RF-PCA","XGB-PCA"
"Sulfate_DL - Sulfate_PLS",0.168763128126289,"Sulfate_DL","Sulfate_PLS","Sulfate","Sulfate","DL","PLS"
"Sulfate_DL - Sulfate_RF-PCA",0.490445379743915,"Sulfate_DL","Sulfate_RF-PCA","Sulfate","Sulfate","DL","RF-PCA"
"Sulfate_PLS - Sulfate_RF-PCA",0.162799618446532,"Sulfate_PLS","Sulfate_RF-PCA","Sulfate","Sulfate","PLS","RF-PCA"
"Sulfate_DL - Sulfate_XGB-PCA",0.300644281452831,"Sulfate_DL","Sulfate_XGB-PCA","Sulfate","Sulfate","DL","XGB-PCA"
"Sulfate_PLS - Sulfate_XGB-PCA",0.33123115950319,"Sulfate_PLS","Sulfate_XGB-PCA","Sulfate","Sulfate","PLS","XGB-PCA"
"Sulfate_RF-PCA - Sulfate_XGB-PCA",0.292360950591591,"Sulfate_RF-PCA","Sulfate_XGB-PCA","Sulfate","Sulfate","RF-PCA","XGB-PCA"
"Zinc_DL - Zinc_PLS",0.154172584770181,"Zinc_DL","Zinc_PLS","Zinc","Zinc","DL","PLS"
"Zinc_DL - Zinc_RF-PCA",0.00836079070335208,"Zinc_DL","Zinc_RF-PCA","Zinc","Zinc","DL","RF-PCA"
"Zinc_PLS - Zinc_RF-PCA",0.0847095842971162,"Zinc_PLS","Zinc_RF-PCA","Zinc","Zinc","PLS","RF-PCA"
"Zinc_DL - Zinc_XGB-PCA",0.111585577849751,"Zinc_DL","Zinc_XGB-PCA","Zinc","Zinc","DL","XGB-PCA"
"Zinc_PLS - Zinc_XGB-PCA",0.420959878076889,"Zinc_PLS","Zinc_XGB-PCA","Zinc","Zinc","PLS","XGB-PCA"
"Zinc_RF-PCA - Zinc_XGB-PCA",0.120070580228468,"Zinc_RF-PCA","Zinc_XGB-PCA","Zinc","Zinc","RF-PCA","XGB-PCA"
