"comparison","p","comp1","comp2","sp1","sp2","mod1","mod2"
"Calcium_DL - Calcium_XGB-PCA",0.257961895284075,"Calcium_DL","Calcium_XGB-PCA","Calcium","Calcium","DL","XGB-PCA"
"Calcium_PLS - Calcium_XGB-PCA",0.461448041999744,"Calcium_PLS","Calcium_XGB-PCA","Calcium","Calcium","PLS","XGB-PCA"
"Calcium_RF-PCA - Calcium_XGB-PCA",0.35549551763113,"Calcium_RF-PCA","Calcium_XGB-PCA","Calcium","Calcium","RF-PCA","XGB-PCA"
"Copper_DL - Copper_PLS",0.421533474321209,"Copper_DL","Copper_PLS","Copper","Copper","DL","PLS"
"Copper_DL - Copper_RF-PCA",0.136233176741093,"Copper_DL","Copper_RF-PCA","Copper","Copper","DL","RF-PCA"
"Copper_PLS - Copper_RF-PCA",0.184212238850487,"Copper_PLS","Copper_RF-PCA","Copper","Copper","PLS","RF-PCA"
"Copper_DL - Copper_XGB-PCA",0.313177163340627,"Copper_DL","Copper_XGB-PCA","Copper","Copper","DL","XGB-PCA"
"Copper_PLS - Copper_XGB-PCA",0.38633181567564,"Copper_PLS","Copper_XGB-PCA","Copper","Copper","PLS","XGB-PCA"
"Copper_RF-PCA - Copper_XGB-PCA",0.270753415207316,"Copper_RF-PCA","Copper_XGB-PCA","Copper","Copper","RF-PCA","XGB-PCA"
"Iron_DL - Iron_PLS",0.495904843125607,"Iron_DL","Iron_PLS","Iron","Iron","DL","PLS"
"Iron_DL - Iron_RF-PCA",0.41981318997475,"Iron_DL","Iron_RF-PCA","Iron","Iron","DL","RF-PCA"
"Iron_PLS - Iron_RF-PCA",0.423829512928807,"Iron_PLS","Iron_RF-PCA","Iron","Iron","PLS","RF-PCA"
"Iron_DL - Iron_XGB-PCA",0.356770838474593,"Iron_DL","Iron_XGB-PCA","Iron","Iron","DL","XGB-PCA"
"Iron_PLS - Iron_XGB-PCA",0.36060636699865,"Iron_PLS","Iron_XGB-PCA","Iron","Iron","PLS","XGB-PCA"
"Iron_RF-PCA - Iron_XGB-PCA",0.434577353969899,"Iron_RF-PCA","Iron_XGB-PCA","Iron","Iron","RF-PCA","XGB-PCA"
"Magnesium_DL - Magnesium_PLS",0.0775874631372853,"Magnesium_DL","Magnesium_PLS","Magnesium","Magnesium","DL","PLS"
"Magnesium_DL - Magnesium_RF-PCA",0.380174100560517,"Magnesium_DL","Magnesium_RF-PCA","Magnesium","Magnesium","DL","RF-PCA"
"Magnesium_PLS - Magnesium_RF-PCA",0.132111683895152,"Magnesium_PLS","Magnesium_RF-PCA","Magnesium","Magnesium","PLS","RF-PCA"
"Magnesium_DL - Magnesium_XGB-PCA",0.196020044754823,"Magnesium_DL","Magnesium_XGB-PCA","Magnesium","Magnesium","DL","XGB-PCA"
"Magnesium_PLS - Magnesium_XGB-PCA",0.285844920968039,"Magnesium_PLS","Magnesium_XGB-PCA","Magnesium","Magnesium","PLS","XGB-PCA"
"Magnesium_RF-PCA - Magnesium_XGB-PCA",0.290851134000601,"Magnesium_RF-PCA","Magnesium_XGB-PCA","Magnesium","Magnesium","RF-PCA","XGB-PCA"
"Manganese_DL - Manganese_PLS",0.0945141865774889,"Manganese_DL","Manganese_PLS","Manganese","Manganese","DL","PLS"
"Manganese_DL - Manganese_RF-PCA",0.0667828505012428,"Manganese_DL","Manganese_RF-PCA","Manganese","Manganese","DL","RF-PCA"
"Manganese_PLS - Manganese_RF-PCA",0.425936491010672,"Manganese_PLS","Manganese_RF-PCA","Manganese","Manganese","PLS","RF-PCA"
"Manganese_DL - Manganese_XGB-PCA",0.202161168151777,"Manganese_DL","Manganese_XGB-PCA","Manganese","Manganese","DL","XGB-PCA"
"Manganese_PLS - Manganese_XGB-PCA",0.315780016700329,"Manganese_PLS","Manganese_XGB-PCA","Manganese","Manganese","PLS","XGB-PCA"
"Manganese_RF-PCA - Manganese_XGB-PCA",0.252622010529291,"Manganese_RF-PCA","Manganese_XGB-PCA","Manganese","Manganese","RF-PCA","XGB-PCA"
"Molybdenum_DL - Molybdenum_PLS",0.0148240757316703,"Molybdenum_DL","Molybdenum_PLS","Molybdenum","Molybdenum","DL","PLS"
"Molybdenum_DL - Molybdenum_RF-PCA",0.0760372760279813,"Molybdenum_DL","Molybdenum_RF-PCA","Molybdenum","Molybdenum","DL","RF-PCA"
"Molybdenum_PLS - Molybdenum_RF-PCA",0.228886983493629,"Molybdenum_PLS","Molybdenum_RF-PCA","Molybdenum","Molybdenum","PLS","RF-PCA"
"Molybdenum_DL - Molybdenum_XGB-PCA",0.0909435838829636,"Molybdenum_DL","Molybdenum_XGB-PCA","Molybdenum","Molybdenum","DL","XGB-PCA"
"Molybdenum_PLS - Molybdenum_XGB-PCA",0.200512381875136,"Molybdenum_PLS","Molybdenum_XGB-PCA","Molybdenum","Molybdenum","PLS","XGB-PCA"
"Molybdenum_RF-PCA - Molybdenum_XGB-PCA",0.461253946959495,"Molybdenum_RF-PCA","Molybdenum_XGB-PCA","Molybdenum","Molybdenum","RF-PCA","XGB-PCA"
"Nitrate-N_DL - Nitrate-N_PLS",0.239076124349912,"Nitrate-N_DL","Nitrate-N_PLS","Nitrate-N","Nitrate-N","DL","PLS"
"Nitrate-N_DL - Nitrate-N_RF-PCA",0.0115717668523136,"Nitrate-N_DL","Nitrate-N_RF-PCA","Nitrate-N","Nitrate-N","DL","RF-PCA"
"Nitrate-N_PLS - Nitrate-N_RF-PCA",0.0591699907532386,"Nitrate-N_PLS","Nitrate-N_RF-PCA","Nitrate-N","Nitrate-N","PLS","RF-PCA"
"Nitrate-N_DL - Nitrate-N_XGB-PCA",0.0466619884723897,"Nitrate-N_DL","Nitrate-N_XGB-PCA","Nitrate-N","Nitrate-N","DL","XGB-PCA"
"Nitrate-N_PLS - Nitrate-N_XGB-PCA",0.166312290766366,"Nitrate-N_PLS","Nitrate-N_XGB-PCA","Nitrate-N","Nitrate-N","PLS","XGB-PCA"
"Nitrate-N_RF-PCA - Nitrate-N_XGB-PCA",0.276611173737085,"Nitrate-N_RF-PCA","Nitrate-N_XGB-PCA","Nitrate-N","Nitrate-N","RF-PCA","XGB-PCA"
"pH_DL - pH_PLS",0.489665578647086,"pH_DL","pH_PLS","pH","pH","DL","PLS"
