"comparison","p","comp1","comp2"
"DL - PLS",0.000276241531662372,"DL","PLS"
"DL - RF-PCA",3.72032943151709e-05,"DL","RF-PCA"
"DL - XGB-PCA",0.00633716560523152,"DL","XGB-PCA"
