,sum_sq,df,F,PR(>F)
C(model),59.079868518287775,3.0,84.62768587277661,1.0002278858285481e-51
C(species),612.7174920390235,13.0,202.5401496397787,0.0
C(syn_aug),241.25308754983223,1.0,1036.7333757361778,1.210388892197673e-185
C(model):C(syn_aug),34.29798367825309,3.0,49.1294084023622,1.0701528253451877e-30
C(species):C(syn_aug),122.47539405283874,13.0,40.485517323982215,1.649796408027661e-92
C(model):C(species),38.89269559567659,39.0,4.285461890780054,5.615790478302174e-17
C(model):C(species):C(syn_aug),41.84168059012671,39.0,4.610401127226371,5.491129294639986e-19
Residual,495.19633718890395,2128.0,,
