"comparison","p","comp1","comp2","sp1","sp2","mod1","mod2"
"Nitrate-N_XGB-PCA - Nitrate-N_RF-PCA",1,"Nitrate-N_XGB-PCA","Nitrate-N_RF-PCA","Nitrate-N","Nitrate-N","XGB-PCA","RF-PCA"
"Nitrate-N_PLS - Nitrate-N_RF-PCA",0.982093936924736,"Nitrate-N_PLS","Nitrate-N_RF-PCA","Nitrate-N","Nitrate-N","PLS","RF-PCA"
"Nitrate-N_DL - Nitrate-N_RF-PCA",0.0782511561120618,"Nitrate-N_DL","Nitrate-N_RF-PCA","Nitrate-N","Nitrate-N","DL","RF-PCA"
"Nitrate-N_PLS - Nitrate-N_XGB-PCA",0.999679129258215,"Nitrate-N_PLS","Nitrate-N_XGB-PCA","Nitrate-N","Nitrate-N","PLS","XGB-PCA"
"Nitrate-N_DL - Nitrate-N_XGB-PCA",0.256593811564117,"Nitrate-N_DL","Nitrate-N_XGB-PCA","Nitrate-N","Nitrate-N","DL","XGB-PCA"
"Potassium_RF-PCA - Potassium_PLS",0.999961258809921,"Potassium_RF-PCA","Potassium_PLS","Potassium","Potassium","RF-PCA","PLS"
"Potassium_DL - Potassium_PLS",0.999655549481572,"Potassium_DL","Potassium_PLS","Potassium","Potassium","DL","PLS"
"Potassium_XGB-PCA - Potassium_PLS",0.992326299998361,"Potassium_XGB-PCA","Potassium_PLS","Potassium","Potassium","XGB-PCA","PLS"
"Nitrate-N_DL - Nitrate-N_PLS",0.999999887812201,"Nitrate-N_DL","Nitrate-N_PLS","Nitrate-N","Nitrate-N","DL","PLS"
"Potassium_DL - Potassium_RF-PCA",1,"Potassium_DL","Potassium_RF-PCA","Potassium","Potassium","DL","RF-PCA"
"Potassium_XGB-PCA - Potassium_RF-PCA",1,"Potassium_XGB-PCA","Potassium_RF-PCA","Potassium","Potassium","XGB-PCA","RF-PCA"
"Potassium_XGB-PCA - Potassium_DL",1,"Potassium_XGB-PCA","Potassium_DL","Potassium","Potassium","XGB-PCA","DL"
