,sum_sq,df,F,PR(>F)
C(model),14.76996712957155,3.0,76.34912342307145,6.662916294471314e-47
C(species),13902.535569146692,13.0,16584.273209236093,0.0
C(syn_aug),60.31327188745967,1.0,935.3166596082674,1.4082857306496075e-170
C(model):C(syn_aug),8.574495919563239,3.0,44.32340583498283,8.833477702919712e-28
C(species):C(syn_aug),30.61884851320938,13.0,36.525089007662494,1.1762894494436934e-83
C(model):C(species),9.72317389891878,39.0,3.866243717403646,1.978222678264276e-14
C(model):C(species):C(syn_aug),10.460420147531819,39.0,4.159396314128933,3.321154581028024e-16
Residual,137.22266278275077,2128.0,,
