"model","groups","text_locs","median"
"DL","b",1.84346415676572,0.00544599633945386
"PLS","a",1.89380198603387,0.154871292237183
"RF-PCA","a",1.86905668154545,0.218373162275807
"XGB-PCA","a",1.73810713120172,0.154850638545844
