perf_met,species,mod1,mod2,meandiff,pvalue,reject
test_rmse,Sulfate,DL,PLS,-0.17903337708576483,0.3393963676960815,False
test_rmse,Sulfate,DL,RF-PCA,0.07226203559205757,0.9,False
test_rmse,Sulfate,DL,XGB-PCA,-0.03579417439720478,0.9,False
test_rmse,Sulfate,PLS,RF-PCA,0.2512954126778224,0.09295749903101369,False
test_rmse,Sulfate,PLS,XGB-PCA,0.14323920268856005,0.5320771251330774,False
test_rmse,Sulfate,RF-PCA,XGB-PCA,-0.10805620998926235,0.7159889344738793,False
test_rmse,Zinc,DL,PLS,-0.13621079534052072,0.3278243221921364,False
test_rmse,Zinc,DL,RF-PCA,-0.22776776245384922,0.027995217351822976,True
test_rmse,Zinc,DL,XGB-PCA,-0.10730032625190522,0.5340184972647835,False
test_rmse,Zinc,PLS,RF-PCA,-0.0915569671133285,0.6435925528169222,False
test_rmse,Zinc,PLS,XGB-PCA,0.028910469088615498,0.9,False
test_rmse,Zinc,RF-PCA,XGB-PCA,0.120467436201944,0.4387768507847565,False
test_rmse,pH,DL,PLS,-0.10234480320492301,0.6146106072306303,False
test_rmse,pH,DL,RF-PCA,-0.23087029025363726,0.04118756432065018,True
test_rmse,pH,DL,XGB-PCA,-0.16692888383452154,0.21424334426073421,False
test_rmse,pH,PLS,RF-PCA,-0.12852548704871425,0.44069669174942727,False
test_rmse,pH,PLS,XGB-PCA,-0.06458408062959853,0.8604150582958691,False
test_rmse,pH,RF-PCA,XGB-PCA,0.06394140641911572,0.8645994731945532,False
test_rsq,Ammonium-N,DL,PLS,-0.053958750546605115,0.9,False
test_rsq,Ammonium-N,DL,RF-PCA,-0.0024067614078987854,0.9,False
test_rsq,Ammonium-N,DL,XGB-PCA,0.10741787886375427,0.6435888141558751,False
test_rsq,Ammonium-N,PLS,RF-PCA,0.05155198913870633,0.9,False
test_rsq,Ammonium-N,PLS,XGB-PCA,0.16137662941035938,0.3192708819859167,False
test_rsq,Ammonium-N,RF-PCA,XGB-PCA,0.10982464027165306,0.6293119554003712,False
test_rsq,Boron,DL,PLS,-0.34039023679987024,0.18148759670925507,False
test_rsq,Boron,DL,RF-PCA,-0.2774333030982412,0.3495208466124192,False
test_rsq,Boron,DL,XGB-PCA,-0.050388463229693675,0.9,False
test_rsq,Boron,PLS,RF-PCA,0.06295693370162904,0.9,False
test_rsq,Boron,PLS,XGB-PCA,0.2900017735701766,0.3102807358921481,False
test_rsq,Boron,RF-PCA,XGB-PCA,0.22704483986854757,0.5235018419776774,False
test_rsq,Calcium,DL,PLS,-0.2710407288204246,0.44233388051357947,False
test_rsq,Calcium,DL,RF-PCA,-0.09874374614276626,0.9,False
test_rsq,Calcium,DL,XGB-PCA,-0.2713359848364105,0.44137074756107075,False
test_rsq,Calcium,PLS,RF-PCA,0.17229698267765836,0.749968759311576,False
test_rsq,Calcium,PLS,XGB-PCA,-0.0002952560159859008,0.9,False
