,sum_sq,df,F,PR(>F)
C(model),31.286945302312144,3.0,47.73241468142029,7.508655156124008e-30
C(species),308.1179693523577,13.0,108.4788747054904,1.1387936438915912e-223
C(treatment),175.02102942216467,1.0,801.053884323802,7.634687036393308e-150
C(model):C(treatment),8.043811075535825,3.0,12.27190836837954,5.843303007331208e-08
C(species):C(treatment),161.29877215827054,13.0,56.788344191301164,2.200446545996079e-127
C(model):C(species),20.325191971749383,39.0,2.3852919688551855,3.767709360987155e-06
C(model):C(species):C(treatment),9.398114426584156,39.0,1.102929157828948,0.3055864285110405
Residual,464.9434425060684,2128.0,,
