,sum_sq,df,F,PR(>F)
C(model),2.311165579529896,3.0,9.089050100400124,6.07136952579236e-06
C(species),6654.252833549579,13.0,6038.994541629685,0.0
C(model):C(species),6.394597380386382,39.0,1.9344490229052211,0.0005823328237332747
Residual,90.18471492092644,1064.0,,
