"comparison","p","comp1","comp2","sp1","sp2","mod1","mod2"
"Boron_DL - Calcium_PLS",1.44795368351091e-08,"Boron_DL","Calcium_PLS","Boron","Calcium","DL","PLS"
"Boron_PLS - Calcium_PLS",5.8330522034783e-06,"Boron_PLS","Calcium_PLS","Boron","Calcium","PLS","PLS"
"Boron_RF-PCA - Calcium_PLS",1.34509037722992e-06,"Boron_RF-PCA","Calcium_PLS","Boron","Calcium","RF-PCA","PLS"
"Boron_XGB-PCA - Calcium_PLS",2.5624851682124e-08,"Boron_XGB-PCA","Calcium_PLS","Boron","Calcium","XGB-PCA","PLS"
"Calcium_DL - Calcium_PLS",0.290181276337082,"Calcium_DL","Calcium_PLS","Calcium","Calcium","DL","PLS"
"Ammonium-N_DL - Calcium_RF-PCA",3.61373588934902e-06,"Ammonium-N_DL","Calcium_RF-PCA","Ammonium-N","Calcium","DL","RF-PCA"
"Ammonium-N_PLS - Calcium_RF-PCA",2.30751666805833e-05,"Ammonium-N_PLS","Calcium_RF-PCA","Ammonium-N","Calcium","PLS","RF-PCA"
"Ammonium-N_RF-PCA - Calcium_RF-PCA",3.24364817055478e-06,"Ammonium-N_RF-PCA","Calcium_RF-PCA","Ammonium-N","Calcium","RF-PCA","RF-PCA"
"Ammonium-N_XGB-PCA - Calcium_RF-PCA",9.32639544462219e-08,"Ammonium-N_XGB-PCA","Calcium_RF-PCA","Ammonium-N","Calcium","XGB-PCA","RF-PCA"
"Boron_DL - Calcium_RF-PCA",6.67856965508509e-08,"Boron_DL","Calcium_RF-PCA","Boron","Calcium","DL","RF-PCA"
"Boron_PLS - Calcium_RF-PCA",1.97832065001276e-05,"Boron_PLS","Calcium_RF-PCA","Boron","Calcium","PLS","RF-PCA"
"Boron_RF-PCA - Calcium_RF-PCA",4.94830686220284e-06,"Boron_RF-PCA","Calcium_RF-PCA","Boron","Calcium","RF-PCA","RF-PCA"
